Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.14,-1.98,47.77%,0.13%,143.62,1.37
breachBreach,Initiator,Fair / B,39.82,+11.82,50.12%,0.10%,135.05,1.49
brimstoneBrimstone,Controller,Bad / D,30.69,-2.72,45.72%,0.13%,128.00,1.26
chamberChamber,Sentinel,Good / A,55.84,-3.09,49.77%,5.99%,145.30,1.26
cloveClove,Controller,Strong / S,62.50,+2.21,51.45%,6.35%,156.25,1.47
cypherCypher,Sentinel,Weak / C,38.73,-4.84,50.72%,0.36%,129.89,1.27
deadlockDeadlock,Sentinel,Good / A,42.85,+3.19,51.54%,0.58%,143.02,1.37
fadeFade,Initiator,Weak / C,35.89,-14.53,49.16%,0.10%,127.08,1.31
gekkoGekko,Initiator,Fair / B,40.43,-2.41,49.28%,1.86%,126.52,1.22
harborHarbor,Controller,Weak / C,36.99,-1.97,48.02%,0.75%,132.93,1.33
isoIso,Duelist,Good / A,59.49,+5.81,51.50%,4.97%,172.53,1.43
jettJett,Duelist,God / S+,96.31,+3.87,50.10%,18.58%,158.96,1.30
kayoKAY/O,Initiator,Fair / B,41.53,+2.84,49.31%,0.66%,139.47,1.56
killjoyKilljoy,Sentinel,Strong / S,69.80,+3.84,50.41%,10.64%,138.18,1.22
neonNeon,Duelist,Good / A,47.07,+0.19,50.24%,2.64%,150.23,1.29
omenOmen,Controller,Bad / D,34.43,-3.38,46.26%,0.59%,138.26,1.32
phoenixPhoenix,Duelist,Fair / B,38.75,-4.72,48.94%,0.44%,151.26,1.30
razeRaze,Duelist,Good / A,42.27,-1.09,49.48%,1.20%,156.18,1.30
reynaReyna,Duelist,Strong / S,80.06,+4.17,50.28%,12.96%,158.65,1.36
sageSage,Sentinel,Fair / B,40.49,-5.11,49.97%,1.28%,128.36,1.29
skyeSkye,Initiator,Bad / D,33.54,+7.20,48.04%,0.19%,124.37,1.23
sovaSova,Initiator,God / S+,86.10,+1.71,50.09%,15.86%,136.76,1.32
viperViper,Controller,Strong / S,75.35,+1.11,49.80%,12.20%,140.73,1.36
vyseVyse,Sentinel,Good / A,43.40,-1.66,50.05%,0.35%,159.80,1.54
yoruYoru,Duelist,Fair / B,41.53,-0.46,49.93%,1.10%,145.50,1.29
