Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,26.36,-0.42,48.58%,0.30%,125.99,1.26
breachBreach,Initiator,Bad / D,27.34,-0.36,48.93%,0.78%,119.06,1.19
brimstoneBrimstone,Controller,Fair / B,41.13,-0.27,49.02%,3.23%,108.25,1.21
chamberChamber,Sentinel,Good / A,54.07,-2.45,49.92%,3.39%,135.76,1.30
cloveClove,Controller,Strong / S,64.81,-1.39,50.76%,4.30%,138.10,1.35
cypherCypher,Sentinel,Fair / B,36.98,-2.69,49.04%,2.39%,116.03,1.18
deadlockDeadlock,Sentinel,Weak / C,31.74,-0.28,49.73%,1.34%,115.29,1.13
fadeFade,Initiator,Fair / B,35.30,+4.09,49.64%,2.07%,110.22,1.15
gekkoGekko,Initiator,Good / A,51.72,-0.35,49.77%,4.81%,111.50,1.09
harborHarbor,Controller,Bad / D,21.60,-6.39,48.20%,0.76%,112.83,1.14
isoIso,Duelist,Good / A,53.27,+0.10,49.74%,3.64%,135.73,1.23
jettJett,Duelist,God / S+,97.94,+0.03,50.46%,10.19%,134.45,1.28
kayoKAY/O,Initiator,Weak / C,34.99,+2.80,48.60%,2.17%,114.17,1.24
killjoyKilljoy,Sentinel,Fair / B,43.75,+4.18,50.48%,2.35%,123.81,1.16
neonNeon,Duelist,Good / A,57.92,+0.44,49.52%,5.20%,124.79,1.16
omenOmen,Controller,Good / A,49.22,+0.92,48.52%,4.55%,121.82,1.16
phoenixPhoenix,Duelist,Strong / S,72.50,+2.03,49.64%,7.95%,116.06,1.12
razeRaze,Duelist,Good / A,48.02,+1.36,49.35%,3.31%,131.61,1.20
reynaReyna,Duelist,God / S+,95.30,+0.13,50.04%,9.55%,141.19,1.34
sageSage,Sentinel,Strong / S,88.59,+1.08,50.24%,10.57%,104.82,1.12
skyeSkye,Initiator,Weak / C,29.24,+1.36,48.99%,1.54%,109.95,1.15
sovaSova,Initiator,Strong / S,71.72,-1.08,49.87%,7.46%,115.27,1.18
viperViper,Controller,Fair / B,38.66,+1.97,49.22%,2.31%,122.24,1.18
vyseVyse,Sentinel,Weak / C,34.19,-5.95,48.77%,2.19%,117.78,1.14
yoruYoru,Duelist,Fair / B,43.64,+1.14,48.68%,3.66%,120.94,1.14
