Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,33.47,-0.49,49.87%,0.45%,139.54,1.40
breachBreach,Initiator,Bad / D,30.32,+1.41,49.01%,0.86%,131.86,1.30
brimstoneBrimstone,Controller,Bad / D,32.66,-3.90,48.89%,0.85%,136.07,1.42
chamberChamber,Sentinel,Strong / S,70.51,-1.37,50.01%,7.84%,149.69,1.34
cloveClove,Controller,Strong / S,77.22,+1.70,51.14%,7.96%,154.99,1.47
cypherCypher,Sentinel,Weak / C,33.23,-0.22,49.19%,1.40%,132.08,1.29
deadlockDeadlock,Sentinel,Fair / B,35.68,-1.12,50.13%,1.29%,135.63,1.28
fadeFade,Initiator,Weak / C,33.94,+1.71,49.97%,0.95%,131.03,1.34
gekkoGekko,Initiator,Good / A,51.54,-0.56,50.02%,4.97%,127.48,1.24
harborHarbor,Controller,Bad / D,31.90,-1.14,49.19%,1.06%,130.28,1.33
isoIso,Duelist,Good / A,54.75,+0.46,50.75%,3.41%,167.61,1.41
jettJett,Duelist,God / S+,97.94,+0.05,50.27%,12.87%,161.42,1.36
kayoKAY/O,Initiator,Fair / B,38.88,+1.52,48.86%,2.13%,133.54,1.45
killjoyKilljoy,Sentinel,Good / A,57.90,+1.90,50.46%,5.69%,138.20,1.25
neonNeon,Duelist,Good / A,47.01,+0.07,49.97%,3.37%,147.42,1.27
omenOmen,Controller,Fair / B,45.75,-1.26,48.84%,3.85%,138.73,1.32
phoenixPhoenix,Duelist,Fair / B,42.08,+1.53,49.95%,1.69%,156.65,1.39
razeRaze,Duelist,Good / A,47.26,-0.86,49.58%,3.34%,153.66,1.30
reynaReyna,Duelist,God / S+,92.31,+1.14,50.46%,11.41%,161.54,1.42
sageSage,Sentinel,Good / A,52.80,+1.11,50.25%,4.99%,125.25,1.30
skyeSkye,Initiator,Weak / C,34.09,+2.61,49.82%,1.23%,128.16,1.32
sovaSova,Initiator,Strong / S,74.90,+1.97,50.11%,9.10%,137.56,1.33
viperViper,Controller,Strong / S,63.09,+0.29,49.98%,6.47%,141.10,1.38
vyseVyse,Sentinel,Fair / B,36.20,-6.04,49.72%,1.29%,139.03,1.35
yoruYoru,Duelist,Fair / B,34.57,-0.51,48.90%,1.51%,143.54,1.28
