Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
breachBreach,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
brimstoneBrimstone,Controller,Good / A,46.19,NEW,56.41%,0.13%,138.79,1.65
chamberChamber,Sentinel,Fair / B,43.33,-2.07,48.39%,3.18%,146.19,1.27
cloveClove,Controller,Good / A,50.11,-0.38,51.46%,3.51%,164.91,1.53
cypherCypher,Sentinel,Good / A,56.51,NEW,66.67%,0.15%,145.29,1.75
deadlockDeadlock,Sentinel,Weak / C,39.20,+21.79,48.28%,0.60%,157.25,1.36
fadeFade,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
gekkoGekko,Initiator,Fair / B,41.23,+8.18,51.15%,1.60%,130.51,1.27
harborHarbor,Controller,Bad / D,34.30,-10.26,43.07%,0.63%,138.64,1.50
isoIso,Duelist,Good / A,56.31,+0.07,51.65%,6.51%,172.56,1.39
jettJett,Duelist,God / S+,85.86,-1.60,50.41%,21.24%,161.65,1.34
kayoKAY/O,Initiator,Bad / D,32.43,-12.29,42.39%,0.36%,135.01,1.45
killjoyKilljoy,Sentinel,Strong / S,64.19,+5.08,50.89%,11.83%,145.22,1.27
neonNeon,Duelist,Fair / B,46.08,+1.39,49.73%,2.94%,160.65,1.40
omenOmen,Controller,Bad / D,37.27,-19.67,49.64%,0.32%,137.84,1.22
phoenixPhoenix,Duelist,Good / A,46.77,NEW,54.10%,0.56%,172.68,1.54
razeRaze,Duelist,Fair / B,44.64,-10.64,56.74%,0.37%,153.35,1.20
reynaReyna,Duelist,Strong / S,64.31,-4.41,50.21%,11.27%,160.79,1.37
sageSage,Sentinel,Fair / B,41.52,+8.35,49.87%,0.87%,149.80,1.48
skyeSkye,Initiator,Weak / C,40.22,NEW,47.62%,0.05%,176.31,1.55
sovaSova,Initiator,God / S+,76.55,+4.10,49.96%,17.79%,140.27,1.36
viperViper,Controller,Strong / S,70.57,+4.67,51.55%,13.82%,148.35,1.44
vyseVyse,Sentinel,Weak / C,39.34,+8.31,50.52%,0.33%,146.01,1.31
yoruYoru,Duelist,Fair / B,43.06,+5.07,50.18%,1.94%,148.44,1.36
