Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,30.56,+4.64,49.46%,0.51%,137.66,1.38
breachBreach,Initiator,Bad / D,31.41,+2.12,49.41%,1.31%,133.26,1.30
brimstoneBrimstone,Controller,Fair / B,38.03,+2.61,49.55%,1.79%,136.20,1.40
chamberChamber,Sentinel,Strong / S,64.61,-1.57,50.17%,5.93%,149.08,1.37
cloveClove,Controller,Strong / S,82.83,-0.75,51.24%,7.66%,154.86,1.47
cypherCypher,Sentinel,Fair / B,38.41,-1.03,49.67%,2.38%,132.11,1.32
deadlockDeadlock,Sentinel,Fair / B,35.98,+1.54,50.05%,1.73%,133.39,1.27
fadeFade,Initiator,Weak / C,34.35,+1.45,49.84%,1.54%,129.07,1.32
gekkoGekko,Initiator,Good / A,53.80,-1.42,50.24%,5.39%,127.96,1.24
harborHarbor,Controller,Bad / D,26.48,+2.51,48.95%,1.04%,128.37,1.30
isoIso,Duelist,Good / A,58.08,+1.40,50.43%,3.75%,161.72,1.39
jettJett,Duelist,God / S+,84.40,-0.59,50.50%,8.75%,161.13,1.39
kayoKAY/O,Initiator,Fair / B,36.53,+0.35,48.81%,2.52%,129.86,1.40
killjoyKilljoy,Sentinel,Good / A,53.39,-0.13,50.42%,4.66%,137.14,1.25
neonNeon,Duelist,Good / A,54.55,+1.03,50.13%,4.45%,147.07,1.30
omenOmen,Controller,Good / A,55.45,+0.25,49.31%,5.59%,141.18,1.32
phoenixPhoenix,Duelist,Fair / B,46.71,-0.98,49.91%,2.48%,153.47,1.38
razeRaze,Duelist,Fair / B,48.24,-1.16,49.27%,3.81%,151.45,1.31
reynaReyna,Duelist,God / S+,99.03,+0.16,50.53%,11.16%,162.41,1.46
sageSage,Sentinel,Strong / S,64.23,+1.31,50.28%,7.37%,123.23,1.28
skyeSkye,Initiator,Weak / C,33.00,+1.07,49.35%,1.87%,127.59,1.31
sovaSova,Initiator,Strong / S,59.18,-0.97,49.87%,6.09%,135.87,1.30
viperViper,Controller,Good / A,50.91,-1.38,49.89%,4.08%,138.75,1.36
vyseVyse,Sentinel,Weak / C,35.35,-10.55,49.40%,1.91%,135.62,1.31
yoruYoru,Duelist,Weak / C,34.50,+0.12,48.82%,2.24%,140.15,1.28
