Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,23.76,-6.00,48.11%,0.64%,138.22,1.42
breachBreach,Initiator,Fair / B,43.27,+3.68,50.14%,2.98%,130.90,1.40
brimstoneBrimstone,Controller,Weak / C,32.66,-6.50,49.14%,1.48%,133.72,1.49
chamberChamber,Sentinel,Strong / S,65.90,-3.50,50.08%,6.19%,148.93,1.35
cloveClove,Controller,God / S+,99.43,+2.29,51.07%,10.33%,152.93,1.54
cypherCypher,Sentinel,Fair / B,47.75,+0.59,49.99%,3.91%,132.81,1.32
deadlockDeadlock,Sentinel,Fair / B,35.64,+6.28,50.98%,1.62%,133.26,1.31
fadeFade,Initiator,Good / A,48.96,-0.93,50.04%,4.00%,129.17,1.38
gekkoGekko,Initiator,Strong / S,63.82,-2.65,49.93%,6.79%,125.58,1.25
harborHarbor,Controller,Bad / D,15.69,+0.87,47.07%,0.48%,127.38,1.29
isoIso,Duelist,Good / A,54.40,+1.08,50.16%,3.95%,161.79,1.39
jettJett,Duelist,Strong / S,82.26,-0.93,50.23%,8.65%,152.77,1.31
kayoKAY/O,Initiator,Weak / C,31.46,+0.93,49.42%,1.24%,129.95,1.50
killjoyKilljoy,Sentinel,Good / A,52.71,+0.87,50.09%,4.66%,138.96,1.25
neonNeon,Duelist,Good / A,61.88,+1.04,50.38%,5.68%,145.66,1.29
omenOmen,Controller,Good / A,60.77,+0.48,49.07%,6.06%,135.21,1.40
phoenixPhoenix,Duelist,Fair / B,43.95,-7.58,50.15%,2.51%,153.90,1.40
razeRaze,Duelist,Strong / S,73.99,-3.16,50.16%,7.26%,156.40,1.33
reynaReyna,Duelist,God / S+,88.76,+1.71,50.23%,9.21%,157.49,1.43
sageSage,Sentinel,Good / A,51.48,+9.68,51.09%,4.13%,126.95,1.33
skyeSkye,Initiator,Weak / C,33.33,+3.45,49.37%,1.94%,129.04,1.36
sovaSova,Initiator,Fair / B,39.72,+5.36,50.28%,2.15%,140.52,1.39
viperViper,Controller,Bad / D,26.90,-1.42,49.24%,0.67%,142.21,1.37
vyseVyse,Sentinel,Weak / C,35.16,-8.29,50.07%,1.69%,139.25,1.35
yoruYoru,Duelist,Fair / B,36.33,+2.65,49.70%,1.97%,143.82,1.33
