Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,32.15,-2.95,48.60%,0.77%,140.88,1.50
breachBreach,Initiator,Good / A,48.70,+1.25,49.73%,4.01%,129.92,1.43
brimstoneBrimstone,Controller,Weak / C,32.98,+3.14,49.67%,0.45%,136.12,1.61
chamberChamber,Sentinel,Strong / S,70.46,-3.69,49.91%,7.96%,150.60,1.33
cloveClove,Controller,God / S+,98.96,+0.45,50.96%,12.53%,155.14,1.58
cypherCypher,Sentinel,Fair / B,48.26,+2.33,49.88%,4.00%,134.69,1.33
deadlockDeadlock,Sentinel,Fair / B,36.42,+0.99,51.00%,1.24%,137.34,1.36
fadeFade,Initiator,Good / A,49.92,-0.38,49.89%,4.17%,132.28,1.42
gekkoGekko,Initiator,Strong / S,69.31,-2.81,50.08%,8.34%,126.55,1.27
harborHarbor,Controller,Bad / D,24.56,+1.56,47.24%,0.15%,132.72,1.39
isoIso,Duelist,Good / A,52.00,+2.76,50.68%,3.58%,168.09,1.42
jettJett,Duelist,God / S+,84.63,-5.43,50.16%,10.56%,156.51,1.31
kayoKAY/O,Initiator,Bad / D,30.41,+1.01,48.39%,0.48%,136.24,1.55
killjoyKilljoy,Sentinel,Good / A,58.23,+1.26,50.66%,5.64%,142.55,1.28
neonNeon,Duelist,Good / A,55.45,+4.03,51.01%,4.77%,150.00,1.31
omenOmen,Controller,Good / A,56.90,-1.47,48.78%,5.71%,136.88,1.45
phoenixPhoenix,Duelist,Fair / B,39.28,+2.40,50.69%,1.23%,159.90,1.44
razeRaze,Duelist,Strong / S,76.43,-4.78,49.78%,9.05%,158.07,1.31
reynaReyna,Duelist,Strong / S,77.72,-2.21,50.38%,8.84%,159.19,1.43
sageSage,Sentinel,Weak / C,33.05,+2.15,49.68%,1.21%,129.12,1.34
skyeSkye,Initiator,Fair / B,36.11,+1.81,49.85%,1.58%,130.70,1.40
sovaSova,Initiator,Fair / B,36.05,+1.10,50.27%,1.08%,144.65,1.43
viperViper,Controller,Bad / D,31.93,+8.08,49.68%,0.24%,150.70,1.47
vyseVyse,Sentinel,Weak / C,35.03,-10.30,49.79%,1.14%,142.18,1.40
yoruYoru,Duelist,Fair / B,35.06,-0.30,49.44%,1.28%,147.42,1.34
