Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,23.14,+1.99,48.48%,0.60%,132.17,1.33
breachBreach,Initiator,Fair / B,41.62,+1.39,50.15%,2.17%,129.74,1.31
brimstoneBrimstone,Controller,Fair / B,43.73,-2.95,49.62%,2.34%,134.16,1.41
chamberChamber,Sentinel,Strong / S,60.56,+0.67,50.05%,5.02%,143.11,1.33
cloveClove,Controller,God / S+,88.28,-1.37,51.11%,7.78%,147.86,1.44
cypherCypher,Sentinel,Good / A,50.78,-4.08,49.93%,4.27%,129.73,1.31
deadlockDeadlock,Sentinel,Weak / C,37.50,-1.59,50.18%,2.04%,126.78,1.24
fadeFade,Initiator,Fair / B,42.03,-1.69,50.00%,2.87%,124.30,1.31
gekkoGekko,Initiator,Good / A,56.24,-2.74,50.04%,6.29%,124.18,1.22
harborHarbor,Controller,Bad / D,15.58,+7.24,48.15%,0.95%,122.95,1.23
isoIso,Duelist,Good / A,54.60,+1.24,49.82%,3.68%,151.20,1.32
jettJett,Duelist,Strong / S,63.26,+2.05,49.88%,5.43%,149.60,1.32
kayoKAY/O,Initiator,Weak / C,34.11,+2.80,49.04%,2.22%,124.07,1.37
killjoyKilljoy,Sentinel,Fair / B,46.79,-0.36,50.24%,3.33%,133.68,1.24
neonNeon,Duelist,Good / A,58.47,+0.83,50.18%,5.15%,139.02,1.26
omenOmen,Controller,Good / A,60.20,+0.89,49.30%,6.81%,133.47,1.31
phoenixPhoenix,Duelist,Good / A,52.55,+5.13,50.05%,3.02%,147.44,1.34
razeRaze,Duelist,Strong / S,66.56,-0.50,50.22%,5.35%,150.93,1.34
reynaReyna,Duelist,God / S+,98.99,+0.24,50.45%,10.54%,154.12,1.43
sageSage,Sentinel,Strong / S,65.39,-2.12,50.17%,7.87%,119.71,1.26
skyeSkye,Initiator,Weak / C,36.57,-1.48,49.50%,2.70%,122.04,1.30
sovaSova,Initiator,Fair / B,44.29,+5.23,49.96%,3.04%,132.03,1.28
viperViper,Controller,Bad / D,32.41,-2.55,49.43%,1.22%,134.23,1.29
vyseVyse,Sentinel,Fair / B,39.49,-10.69,49.68%,2.42%,130.96,1.30
yoruYoru,Duelist,Weak / C,36.86,+2.44,49.08%,2.89%,133.89,1.26
