Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,29.52,-4.63,48.50%,0.92%,139.80,1.46
breachBreach,Initiator,Fair / B,48.17,+1.71,49.81%,3.93%,130.10,1.40
brimstoneBrimstone,Controller,Weak / C,31.67,+1.46,49.47%,0.73%,138.01,1.56
chamberChamber,Sentinel,Strong / S,75.56,-5.48,49.97%,8.12%,150.75,1.35
cloveClove,Controller,God / S+,99.13,+0.02,50.87%,11.19%,153.66,1.55
cypherCypher,Sentinel,Good / A,49.41,+3.03,49.83%,4.21%,134.60,1.32
deadlockDeadlock,Sentinel,Weak / C,34.29,+5.75,50.36%,1.36%,137.53,1.35
fadeFade,Initiator,Good / A,49.29,+1.48,50.27%,3.90%,131.44,1.41
gekkoGekko,Initiator,Strong / S,69.00,-1.79,50.12%,7.69%,126.96,1.27
harborHarbor,Controller,Bad / D,22.67,+0.04,48.01%,0.28%,134.81,1.37
isoIso,Duelist,Good / A,49.89,+2.65,50.22%,3.22%,166.69,1.41
jettJett,Duelist,God / S+,87.26,-2.74,50.11%,9.92%,157.36,1.33
kayoKAY/O,Initiator,Bad / D,28.60,-0.15,48.26%,0.90%,133.52,1.50
killjoyKilljoy,Sentinel,Good / A,54.10,+2.40,50.43%,4.78%,140.91,1.26
neonNeon,Duelist,Good / A,52.79,+2.86,50.60%,4.25%,148.22,1.30
omenOmen,Controller,Good / A,63.06,+0.72,49.16%,6.44%,136.14,1.43
phoenixPhoenix,Duelist,Fair / B,38.83,+1.18,49.93%,1.67%,157.47,1.41
razeRaze,Duelist,Strong / S,76.62,-4.20,50.05%,8.11%,159.00,1.33
reynaReyna,Duelist,Strong / S,86.29,-2.45,50.08%,9.51%,159.01,1.42
sageSage,Sentinel,Fair / B,36.86,+1.64,49.93%,2.25%,126.76,1.32
skyeSkye,Initiator,Fair / B,35.12,+2.06,49.44%,1.89%,131.01,1.39
sovaSova,Initiator,Fair / B,34.87,+2.48,49.91%,1.48%,140.45,1.38
viperViper,Controller,Bad / D,28.57,+0.55,49.16%,0.36%,149.80,1.44
vyseVyse,Sentinel,Fair / B,35.58,-8.70,49.86%,1.55%,141.29,1.40
yoruYoru,Duelist,Weak / C,32.87,+0.10,49.12%,1.35%,147.90,1.35
