Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,28.67,-0.38,49.02%,0.81%,139.50,1.44
breachBreach,Initiator,Fair / B,45.36,+4.43,50.22%,3.24%,133.55,1.38
brimstoneBrimstone,Controller,Weak / C,35.00,-0.31,49.32%,1.53%,137.56,1.50
chamberChamber,Sentinel,Strong / S,71.65,-3.03,50.10%,7.10%,151.64,1.37
cloveClove,Controller,God / S+,95.06,+0.63,51.21%,9.64%,154.42,1.53
cypherCypher,Sentinel,Good / A,49.08,+0.13,50.02%,4.12%,133.72,1.33
deadlockDeadlock,Sentinel,Weak / C,34.94,+3.13,50.30%,1.69%,134.47,1.30
fadeFade,Initiator,Fair / B,42.91,-1.07,50.01%,3.10%,130.09,1.37
gekkoGekko,Initiator,Good / A,61.44,-1.99,50.23%,6.52%,127.38,1.26
harborHarbor,Controller,Bad / D,19.41,+0.61,48.15%,0.52%,131.36,1.31
isoIso,Duelist,Good / A,54.26,+1.95,50.43%,3.47%,164.62,1.41
jettJett,Duelist,Strong / S,77.42,-0.88,50.15%,7.85%,158.73,1.36
kayoKAY/O,Initiator,Weak / C,29.89,+3.26,48.46%,1.62%,131.41,1.44
killjoyKilljoy,Sentinel,Good / A,47.69,+1.89,50.40%,3.74%,139.00,1.26
neonNeon,Duelist,Good / A,54.78,+1.06,50.25%,4.55%,147.93,1.31
omenOmen,Controller,Strong / S,64.14,-0.84,49.14%,6.84%,137.41,1.39
phoenixPhoenix,Duelist,Fair / B,45.75,+1.68,50.19%,2.40%,157.70,1.42
razeRaze,Duelist,Strong / S,70.95,-1.86,50.25%,6.65%,159.86,1.36
reynaReyna,Duelist,God / S+,98.54,-0.25,50.50%,10.67%,161.97,1.46
sageSage,Sentinel,Good / A,52.75,+1.22,50.27%,4.92%,125.18,1.31
skyeSkye,Initiator,Fair / B,35.93,+1.95,49.53%,2.35%,128.47,1.35
sovaSova,Initiator,Fair / B,37.53,+1.56,49.66%,2.20%,140.02,1.34
viperViper,Controller,Bad / D,27.81,+0.56,49.35%,0.66%,141.35,1.36
vyseVyse,Sentinel,Fair / B,36.61,-12.37,49.53%,2.12%,138.27,1.36
yoruYoru,Duelist,Weak / C,32.41,-1.06,48.99%,1.70%,144.21,1.32
