Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,33.86,-3.29,48.48%,0.51%,141.37,1.47
breachBreach,Initiator,Fair / B,47.87,-0.18,50.03%,3.66%,128.11,1.45
brimstoneBrimstone,Controller,Bad / D,30.53,-19.33,46.73%,0.21%,135.22,1.58
chamberChamber,Sentinel,Good / A,60.30,-4.24,50.11%,6.37%,149.52,1.33
cloveClove,Controller,God / S+,97.15,+5.38,50.85%,14.03%,156.10,1.60
cypherCypher,Sentinel,Good / A,47.92,+6.32,50.54%,3.67%,133.74,1.33
deadlockDeadlock,Sentinel,Fair / B,39.14,+2.22,50.64%,1.31%,140.24,1.37
fadeFade,Initiator,Good / A,54.13,+0.30,50.12%,5.00%,132.51,1.46
gekkoGekko,Initiator,Strong / S,64.42,-0.93,49.95%,8.04%,127.27,1.28
harborHarbor,Controller,Bad / D,17.30,+3.41,40.65%,0.08%,125.65,1.29
isoIso,Duelist,Good / A,56.38,+1.36,50.96%,4.45%,169.04,1.43
jettJett,Duelist,God / S+,82.38,+0.83,50.58%,11.31%,157.05,1.31
kayoKAY/O,Initiator,Fair / B,40.77,+9.22,52.84%,0.28%,137.77,1.67
killjoyKilljoy,Sentinel,Good / A,61.02,-1.10,49.67%,7.07%,142.02,1.24
neonNeon,Duelist,Strong / S,61.08,+6.35,50.69%,6.36%,151.41,1.31
omenOmen,Controller,Good / A,50.20,-1.37,48.23%,4.64%,135.36,1.46
phoenixPhoenix,Duelist,Fair / B,41.23,+0.60,51.30%,0.80%,164.24,1.45
razeRaze,Duelist,Strong / S,72.13,-0.48,49.94%,9.08%,158.14,1.31
reynaReyna,Duelist,Strong / S,69.74,+2.13,50.59%,8.00%,158.12,1.43
sageSage,Sentinel,Bad / D,33.48,+4.33,48.56%,0.64%,138.86,1.40
skyeSkye,Initiator,Weak / C,36.79,-0.72,49.42%,1.24%,131.61,1.42
sovaSova,Initiator,Weak / C,36.92,-2.24,49.22%,0.94%,145.58,1.45
viperViper,Controller,Weak / C,36.32,+2.57,50.37%,0.22%,151.47,1.47
vyseVyse,Sentinel,Fair / B,38.57,-9.88,50.31%,0.81%,149.26,1.48
yoruYoru,Duelist,Fair / B,40.36,-1.27,50.69%,1.26%,151.33,1.39
