Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,26.16,-3.64,48.82%,0.38%,125.98,1.29
breachBreach,Initiator,Weak / C,34.58,+0.30,49.82%,1.17%,122.43,1.29
brimstoneBrimstone,Controller,Fair / B,45.75,+1.20,49.35%,3.46%,112.98,1.29
chamberChamber,Sentinel,Good / A,54.18,-0.28,49.84%,3.50%,136.70,1.31
cloveClove,Controller,Strong / S,68.42,-1.29,50.55%,4.82%,138.53,1.39
cypherCypher,Sentinel,Fair / B,42.49,+0.88,49.45%,2.91%,119.55,1.22
deadlockDeadlock,Sentinel,Weak / C,31.99,+2.85,49.93%,1.39%,116.85,1.16
fadeFade,Initiator,Fair / B,38.21,+0.66,49.65%,2.51%,111.98,1.20
gekkoGekko,Initiator,Good / A,53.81,-1.02,49.69%,5.14%,111.79,1.11
harborHarbor,Controller,Bad / D,17.52,-0.98,47.96%,0.72%,111.91,1.13
isoIso,Duelist,Good / A,52.32,-0.46,49.59%,3.66%,135.98,1.23
jettJett,Duelist,God / S+,90.96,-0.82,50.07%,9.31%,130.32,1.24
kayoKAY/O,Initiator,Weak / C,31.94,+2.41,48.47%,2.03%,112.66,1.27
killjoyKilljoy,Sentinel,Fair / B,38.27,+1.65,49.92%,2.08%,123.73,1.16
neonNeon,Duelist,Strong / S,60.44,+0.71,49.70%,5.41%,125.17,1.17
omenOmen,Controller,Good / A,53.84,+1.18,48.73%,5.02%,122.11,1.20
phoenixPhoenix,Duelist,Strong / S,76.04,+0.06,49.49%,8.16%,119.17,1.15
razeRaze,Duelist,Good / A,57.14,+0.79,49.79%,3.91%,140.89,1.28
reynaReyna,Duelist,God / S+,97.90,+0.40,49.95%,9.57%,141.61,1.36
sageSage,Sentinel,Strong / S,88.03,-0.90,50.07%,10.17%,105.00,1.13
skyeSkye,Initiator,Weak / C,28.84,-0.24,48.82%,1.79%,109.70,1.17
sovaSova,Initiator,Good / A,55.72,+1.15,49.50%,5.44%,110.76,1.15
viperViper,Controller,Bad / D,25.67,-0.02,48.61%,1.40%,117.37,1.11
vyseVyse,Sentinel,Fair / B,36.54,-7.66,49.11%,2.42%,118.87,1.18
yoruYoru,Duelist,Fair / B,43.25,+3.08,48.85%,3.63%,120.08,1.15
