Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,30.54,-2.96,49.58%,0.89%,138.79,1.47
breachBreach,Initiator,Good / A,46.67,+2.13,50.03%,3.68%,131.64,1.38
brimstoneBrimstone,Controller,Weak / C,31.52,+0.50,49.29%,1.10%,137.55,1.52
chamberChamber,Sentinel,Strong / S,76.32,-2.57,50.18%,7.82%,152.51,1.37
cloveClove,Controller,God / S+,99.29,+0.23,51.25%,10.47%,154.09,1.55
cypherCypher,Sentinel,Good / A,49.24,+2.61,50.03%,4.13%,135.05,1.34
deadlockDeadlock,Sentinel,Weak / C,32.46,-0.46,50.07%,1.50%,135.38,1.31
fadeFade,Initiator,Fair / B,44.88,+0.42,50.14%,3.37%,130.51,1.39
gekkoGekko,Initiator,Strong / S,65.38,-1.65,50.19%,7.01%,127.32,1.26
harborHarbor,Controller,Bad / D,21.45,+1.51,48.71%,0.39%,131.66,1.34
isoIso,Duelist,Good / A,51.89,+3.63,50.62%,3.29%,165.94,1.41
jettJett,Duelist,Strong / S,82.74,-2.86,49.96%,8.91%,157.87,1.33
kayoKAY/O,Initiator,Bad / D,28.67,-0.21,48.48%,1.30%,132.08,1.46
killjoyKilljoy,Sentinel,Good / A,49.30,+1.74,50.32%,4.08%,139.80,1.26
neonNeon,Duelist,Good / A,53.57,+2.01,50.49%,4.32%,149.25,1.31
omenOmen,Controller,Good / A,64.71,+1.94,49.09%,6.76%,136.82,1.41
phoenixPhoenix,Duelist,Fair / B,42.40,+1.30,50.46%,2.02%,158.66,1.42
razeRaze,Duelist,Strong / S,74.36,-1.44,50.12%,7.39%,160.01,1.35
reynaReyna,Duelist,God / S+,94.55,-2.43,50.34%,10.27%,160.25,1.44
sageSage,Sentinel,Fair / B,43.56,-0.29,49.99%,3.49%,126.83,1.32
skyeSkye,Initiator,Fair / B,34.16,+0.89,49.37%,2.12%,128.62,1.36
sovaSova,Initiator,Fair / B,35.41,+2.63,49.66%,1.84%,141.57,1.37
viperViper,Controller,Bad / D,28.78,+2.74,49.93%,0.47%,144.14,1.42
vyseVyse,Sentinel,Fair / B,34.40,-11.84,49.54%,1.83%,138.13,1.37
yoruYoru,Duelist,Weak / C,33.75,+2.45,49.75%,1.54%,145.61,1.33
