Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,22.31,-16.96,42.53%,0.20%,147.78,1.40
breachBreach,Initiator,Fair / B,42.12,+3.84,51.30%,2.23%,138.54,1.63
brimstoneBrimstone,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
chamberChamber,Sentinel,Good / A,46.55,-6.13,50.18%,3.81%,155.38,1.37
cloveClove,Controller,God / S+,91.56,+10.77,51.57%,13.61%,162.70,1.67
cypherCypher,Sentinel,Fair / B,45.07,-6.53,50.28%,3.72%,140.67,1.39
deadlockDeadlock,Sentinel,Fair / B,45.91,+11.06,55.86%,2.23%,138.47,1.45
fadeFade,Initiator,Strong / S,64.66,+1.91,50.28%,8.19%,139.74,1.55
gekkoGekko,Initiator,Good / A,50.81,-3.58,48.87%,5.83%,130.96,1.34
harborHarbor,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
isoIso,Duelist,Good / A,58.58,-0.38,48.92%,6.53%,173.32,1.46
jettJett,Duelist,Strong / S,62.73,-0.44,50.77%,7.95%,149.75,1.26
kayoKAY/O,Initiator,Weak / C,36.92,-7.42,52.29%,0.35%,132.84,1.85
killjoyKilljoy,Sentinel,Good / A,59.76,+3.07,48.78%,7.68%,150.38,1.31
neonNeon,Duelist,God / S+,77.35,+3.52,50.13%,11.55%,152.67,1.31
omenOmen,Controller,Good / A,53.40,+3.41,50.10%,5.46%,140.85,1.55
phoenixPhoenix,Duelist,Bad / D,34.79,-25.59,49.32%,0.60%,164.19,1.55
razeRaze,Duelist,Strong / S,71.89,-3.58,50.87%,9.75%,161.91,1.33
reynaReyna,Duelist,Good / A,50.35,+0.81,49.17%,4.68%,161.96,1.47
sageSage,Sentinel,Fair / B,45.65,+18.66,60.91%,0.28%,147.66,1.56
skyeSkye,Initiator,Weak / C,35.00,+3.56,48.46%,1.39%,149.82,1.47
sovaSova,Initiator,Fair / B,44.32,+10.87,54.78%,0.75%,168.58,1.80
viperViper,Controller,Bad / D,29.86,-14.31,47.51%,0.56%,151.61,1.38
vyseVyse,Sentinel,Weak / C,37.14,+3.08,53.65%,0.60%,155.97,1.32
yoruYoru,Duelist,Fair / B,43.29,+4.78,52.02%,2.06%,159.70,1.52
