Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,27.88,-2.61,48.86%,0.71%,137.97,1.41
breachBreach,Initiator,Fair / B,42.98,+1.50,50.15%,2.74%,133.68,1.36
brimstoneBrimstone,Controller,Fair / B,40.57,+2.11,49.62%,2.04%,138.13,1.47
chamberChamber,Sentinel,Strong / S,66.24,-0.71,50.34%,6.05%,150.08,1.38
cloveClove,Controller,God / S+,90.30,-0.64,51.24%,8.88%,153.72,1.51
cypherCypher,Sentinel,Good / A,49.53,+1.79,50.01%,4.17%,133.74,1.34
deadlockDeadlock,Sentinel,Weak / C,37.03,+2.52,50.33%,1.83%,133.03,1.29
fadeFade,Initiator,Fair / B,41.71,+0.06,49.98%,2.86%,129.47,1.36
gekkoGekko,Initiator,Good / A,58.47,-0.38,50.30%,6.25%,127.82,1.25
harborHarbor,Controller,Bad / D,16.66,-3.88,47.73%,0.74%,128.24,1.28
isoIso,Duelist,Good / A,55.81,+3.86,50.24%,3.64%,161.37,1.39
jettJett,Duelist,Strong / S,71.37,+0.54,50.35%,6.68%,157.62,1.37
kayoKAY/O,Initiator,Weak / C,30.33,-1.38,48.46%,1.95%,128.67,1.41
killjoyKilljoy,Sentinel,Fair / B,46.34,+2.46,50.24%,3.53%,138.37,1.26
neonNeon,Duelist,Good / A,57.13,+2.06,50.44%,4.73%,146.81,1.31
omenOmen,Controller,Strong / S,61.94,+0.37,49.23%,6.87%,137.75,1.37
phoenixPhoenix,Duelist,Good / A,49.39,+1.87,50.11%,2.67%,156.65,1.41
razeRaze,Duelist,Strong / S,68.03,-0.74,50.37%,5.97%,158.62,1.38
reynaReyna,Duelist,God / S+,98.88,+0.09,50.54%,10.92%,161.81,1.47
sageSage,Sentinel,Good / A,58.23,-1.19,50.08%,6.38%,123.50,1.30
skyeSkye,Initiator,Weak / C,37.98,+1.70,49.70%,2.54%,127.61,1.35
sovaSova,Initiator,Fair / B,40.47,+1.16,49.66%,2.61%,138.92,1.34
viperViper,Controller,Bad / D,28.99,-0.45,49.17%,0.87%,139.03,1.35
vyseVyse,Sentinel,Fair / B,38.46,-12.09,49.63%,2.30%,136.68,1.35
yoruYoru,Duelist,Weak / C,35.27,+2.00,49.19%,2.08%,141.28,1.31
