Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,41.55,-3.04,49.92%,2.00%,151.30,1.65
breachBreach,Initiator,Weak / C,39.29,+6.02,50.80%,1.23%,152.10,1.60
brimstoneBrimstone,Controller,Fair / B,41.50,+12.96,53.38%,1.51%,123.89,1.49
chamberChamber,Sentinel,Strong / S,68.67,-0.59,51.05%,6.97%,159.34,1.56
cloveClove,Controller,Strong / S,69.90,+3.26,52.69%,6.12%,159.56,1.65
cypherCypher,Sentinel,Weak / C,37.64,-5.92,48.64%,2.78%,137.37,1.46
deadlockDeadlock,Sentinel,Bad / D,31.51,-2.17,48.85%,1.45%,141.54,1.42
fadeFade,Initiator,Good / A,42.73,+1.85,49.99%,3.01%,138.98,1.49
gekkoGekko,Initiator,Fair / B,42.31,-1.83,48.63%,3.76%,141.93,1.41
harborHarbor,Controller,Fair / B,41.68,+7.98,49.79%,2.34%,148.90,1.59
isoIso,Duelist,Strong / S,70.34,+12.47,52.71%,6.02%,170.65,1.61
jettJett,Duelist,God / S+,95.25,+0.13,51.86%,11.94%,160.73,1.55
kayoKAY/O,Initiator,Bad / D,34.38,-3.57,49.23%,1.95%,131.57,1.48
killjoyKilljoy,Sentinel,Weak / C,37.91,-7.33,50.29%,1.97%,144.61,1.41
neonNeon,Duelist,Strong / S,58.14,-7.08,49.42%,6.33%,148.72,1.43
omenOmen,Controller,Good / A,42.88,-1.05,49.03%,3.71%,138.29,1.43
phoenixPhoenix,Duelist,Good / A,51.01,-0.22,50.96%,3.69%,154.48,1.52
razeRaze,Duelist,Good / A,49.38,+2.83,50.79%,3.71%,154.08,1.43
reynaReyna,Duelist,God / S+,98.00,+10.31,51.65%,12.13%,168.12,1.64
sageSage,Sentinel,Good / A,57.72,+3.69,52.77%,5.69%,117.59,1.35
skyeSkye,Initiator,Weak / C,36.22,+0.40,50.23%,1.86%,133.37,1.45
sovaSova,Initiator,Fair / B,42.36,+1.31,50.57%,2.74%,141.51,1.44
viperViper,Controller,Bad / D,34.20,-7.72,47.67%,1.84%,149.96,1.59
vyseVyse,Sentinel,Good / A,45.83,-19.03,50.50%,3.33%,141.32,1.49
yoruYoru,Duelist,Fair / B,39.62,-3.65,47.74%,3.61%,143.97,1.41
