Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,49.01,-2.99,50.34%,3.34%,160.78,1.78
breachBreach,Initiator,Bad / D,34.81,-6.10,48.33%,0.66%,155.29,1.57
brimstoneBrimstone,Controller,Bad / D,36.87,+8.15,50.23%,0.67%,145.09,1.60
chamberChamber,Sentinel,Strong / S,64.84,-5.85,51.42%,7.91%,163.88,1.63
cloveClove,Controller,Strong / S,61.52,-0.40,53.21%,5.57%,170.76,1.79
cypherCypher,Sentinel,Weak / C,41.90,+4.73,48.88%,2.31%,153.16,1.68
deadlockDeadlock,Sentinel,Bad / D,37.76,-3.51,49.25%,1.21%,150.38,1.60
fadeFade,Initiator,Fair / B,43.34,-0.73,49.48%,2.89%,146.48,1.60
gekkoGekko,Initiator,Fair / B,45.56,+1.88,51.44%,3.18%,141.21,1.49
harborHarbor,Controller,Fair / B,42.57,-3.72,48.95%,2.55%,157.02,1.62
isoIso,Duelist,Strong / S,61.04,+0.66,52.93%,5.27%,183.85,1.76
jettJett,Duelist,God / S+,97.33,+1.63,51.63%,17.16%,174.50,1.64
kayoKAY/O,Initiator,Weak / C,39.17,+3.36,49.78%,1.75%,138.27,1.59
killjoyKilljoy,Sentinel,Weak / C,39.77,+3.86,50.83%,1.44%,149.03,1.51
neonNeon,Duelist,Strong / S,56.83,+2.84,50.34%,6.41%,160.99,1.50
omenOmen,Controller,Fair / B,43.42,+2.90,51.04%,2.26%,147.26,1.59
phoenixPhoenix,Duelist,Good / A,47.78,-3.44,51.28%,2.69%,169.64,1.65
razeRaze,Duelist,Good / A,48.37,+2.42,51.78%,3.01%,167.15,1.55
reynaReyna,Duelist,God / S+,86.77,+3.72,51.93%,13.61%,175.89,1.74
sageSage,Sentinel,Good / A,48.40,-2.59,51.39%,4.34%,132.56,1.46
skyeSkye,Initiator,Weak / C,41.40,+0.56,51.16%,1.45%,149.03,1.63
sovaSova,Initiator,Fair / B,45.65,-0.88,51.76%,2.07%,156.48,1.70
viperViper,Controller,Fair / B,42.14,+3.78,48.96%,1.93%,166.36,1.70
vyseVyse,Sentinel,Good / A,47.71,-12.65,50.35%,3.22%,162.15,1.67
yoruYoru,Duelist,Good / A,46.03,+2.37,50.91%,3.12%,153.44,1.52
