Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,27.43,-6.04,48.87%,1.04%,123.75,1.35
breachBreach,Initiator,Weak / C,36.97,+6.86,49.80%,1.53%,125.51,1.33
brimstoneBrimstone,Controller,Fair / B,43.57,-0.69,49.83%,1.99%,127.92,1.42
chamberChamber,Sentinel,Strong / S,60.61,-3.82,49.43%,5.64%,136.35,1.36
cloveClove,Controller,God / S+,85.53,-1.68,51.12%,6.64%,143.57,1.49
cypherCypher,Sentinel,Good / A,54.04,+3.46,50.38%,3.71%,124.93,1.38
deadlockDeadlock,Sentinel,Weak / C,41.89,+9.39,50.36%,2.14%,124.22,1.28
fadeFade,Initiator,Weak / C,36.79,+3.24,49.32%,2.84%,118.43,1.31
gekkoGekko,Initiator,Good / A,51.15,+3.31,49.92%,5.16%,119.36,1.24
harborHarbor,Controller,Bad / D,19.04,-2.58,47.75%,1.97%,120.22,1.25
isoIso,Duelist,Strong / S,58.95,+2.13,49.89%,4.26%,143.73,1.34
jettJett,Duelist,Strong / S,62.25,-2.05,49.32%,6.11%,139.65,1.33
kayoKAY/O,Initiator,Bad / D,26.12,-1.06,48.03%,2.39%,119.07,1.34
killjoyKilljoy,Sentinel,Good / A,51.45,-1.53,50.83%,2.93%,128.85,1.29
neonNeon,Duelist,Good / A,58.93,-3.79,49.69%,5.81%,131.96,1.28
omenOmen,Controller,Good / A,54.21,+2.73,49.18%,5.42%,129.62,1.33
phoenixPhoenix,Duelist,Fair / B,49.10,+1.37,49.57%,3.09%,138.72,1.36
razeRaze,Duelist,Good / A,53.82,-3.98,49.42%,4.61%,138.30,1.30
reynaReyna,Duelist,God / S+,98.76,+0.40,50.30%,10.26%,146.11,1.47
sageSage,Sentinel,Strong / S,68.22,+0.68,50.62%,7.59%,113.52,1.28
skyeSkye,Initiator,Weak / C,39.38,+4.22,49.90%,2.41%,117.37,1.34
sovaSova,Initiator,Fair / B,42.69,+7.25,49.75%,3.03%,125.35,1.29
viperViper,Controller,Fair / B,42.25,+3.18,50.36%,1.73%,127.41,1.32
vyseVyse,Sentinel,Fair / B,43.60,-15.41,49.28%,3.63%,125.27,1.32
yoruYoru,Duelist,Fair / B,43.24,-5.57,48.90%,4.07%,129.60,1.28
