Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,47.44,-3.66,51.26%,2.83%,146.96,1.68
breachBreach,Initiator,Bad / D,34.28,+2.37,49.85%,1.02%,140.22,1.52
brimstoneBrimstone,Controller,Bad / D,35.75,+4.36,50.42%,0.79%,140.70,1.62
chamberChamber,Sentinel,Strong / S,69.36,-6.20,51.06%,7.98%,160.15,1.59
cloveClove,Controller,Strong / S,65.54,-1.05,52.27%,5.99%,164.90,1.73
cypherCypher,Sentinel,Fair / B,43.14,+2.71,50.78%,2.41%,144.34,1.57
deadlockDeadlock,Sentinel,Weak / C,39.11,+0.19,51.22%,1.39%,146.27,1.50
fadeFade,Initiator,Fair / B,43.66,-0.52,50.80%,2.84%,137.67,1.52
gekkoGekko,Initiator,Good / A,46.68,+0.59,51.54%,3.50%,134.99,1.45
harborHarbor,Controller,Weak / C,40.81,+3.40,49.08%,2.69%,147.28,1.53
isoIso,Duelist,Strong / S,58.74,+4.92,51.40%,4.80%,175.79,1.62
jettJett,Duelist,God / S+,97.43,+1.75,51.13%,14.45%,166.48,1.57
kayoKAY/O,Initiator,Bad / D,36.94,-1.78,48.89%,1.97%,139.86,1.56
killjoyKilljoy,Sentinel,Weak / C,37.08,-4.05,50.49%,1.65%,140.64,1.42
neonNeon,Duelist,Strong / S,56.90,-0.55,50.76%,5.84%,152.58,1.43
omenOmen,Controller,Fair / B,41.30,-0.03,48.42%,3.05%,147.46,1.55
phoenixPhoenix,Duelist,Good / A,48.25,-0.41,51.05%,2.91%,163.76,1.59
razeRaze,Duelist,Good / A,50.08,+0.73,51.23%,3.67%,158.86,1.49
reynaReyna,Duelist,God / S+,91.59,+2.40,51.82%,12.33%,170.41,1.68
sageSage,Sentinel,Good / A,48.03,+0.05,50.17%,4.66%,129.68,1.42
skyeSkye,Initiator,Weak / C,38.55,+1.61,50.13%,1.86%,140.33,1.53
sovaSova,Initiator,Fair / B,43.62,+3.43,51.00%,2.38%,148.32,1.55
viperViper,Controller,Fair / B,43.28,-1.24,50.95%,2.02%,154.54,1.60
vyseVyse,Sentinel,Good / A,48.06,-9.67,50.26%,3.61%,150.07,1.59
yoruYoru,Duelist,Fair / B,44.37,+0.62,49.58%,3.34%,150.20,1.49
