Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,41.49,-4.95,50.27%,1.87%,141.37,1.58
breachBreach,Initiator,Weak / C,36.04,+7.60,50.19%,1.44%,136.53,1.46
brimstoneBrimstone,Controller,Bad / D,35.37,-2.23,49.64%,1.48%,135.31,1.52
chamberChamber,Sentinel,Strong / S,69.58,-5.77,50.12%,7.40%,150.92,1.52
cloveClove,Controller,Strong / S,74.09,-0.47,51.85%,6.46%,156.58,1.64
cypherCypher,Sentinel,Fair / B,46.73,+3.78,50.84%,2.96%,135.97,1.51
deadlockDeadlock,Sentinel,Weak / C,35.42,-1.13,50.32%,1.51%,134.75,1.40
fadeFade,Initiator,Weak / C,40.23,+0.97,50.29%,2.57%,129.82,1.42
gekkoGekko,Initiator,Good / A,48.36,+1.95,50.63%,4.11%,130.26,1.37
harborHarbor,Controller,Bad / D,34.32,-0.46,48.93%,2.32%,131.49,1.41
isoIso,Duelist,Strong / S,60.02,+4.52,50.84%,4.61%,162.76,1.51
jettJett,Duelist,God / S+,84.44,+0.67,50.40%,10.06%,156.75,1.48
kayoKAY/O,Initiator,Bad / D,30.25,+0.90,47.62%,2.19%,130.53,1.48
killjoyKilljoy,Sentinel,Fair / B,40.93,+4.51,51.00%,2.21%,136.79,1.36
neonNeon,Duelist,Strong / S,59.45,+0.18,50.43%,5.80%,145.51,1.40
omenOmen,Controller,Good / A,49.17,+1.74,49.58%,4.36%,139.02,1.46
phoenixPhoenix,Duelist,Good / A,50.07,+2.13,50.76%,2.96%,154.44,1.52
razeRaze,Duelist,Good / A,49.12,-1.33,49.38%,4.32%,149.69,1.40
reynaReyna,Duelist,God / S+,99.16,-0.03,51.27%,11.70%,162.58,1.62
sageSage,Sentinel,Good / A,54.99,+0.79,50.32%,5.96%,121.83,1.36
skyeSkye,Initiator,Weak / C,35.73,+0.41,49.69%,2.06%,128.62,1.44
sovaSova,Initiator,Fair / B,42.22,+1.52,50.19%,2.71%,137.67,1.43
viperViper,Controller,Fair / B,40.70,-0.43,50.62%,1.85%,140.21,1.48
vyseVyse,Sentinel,Good / A,48.36,-16.44,50.41%,3.64%,137.92,1.47
yoruYoru,Duelist,Fair / B,43.77,+1.59,49.42%,3.47%,141.94,1.41
