Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,50.53,-2.31,49.86%,3.80%,169.54,1.90
breachBreach,Initiator,Weak / C,41.56,+1.98,51.93%,0.47%,154.24,1.76
brimstoneBrimstone,Controller,Bad / D,33.73,+12.70,48.64%,0.67%,129.05,1.47
chamberChamber,Sentinel,Strong / S,58.83,-6.09,51.66%,6.68%,170.34,1.66
cloveClove,Controller,Strong / S,59.08,+0.56,51.46%,5.94%,182.05,1.86
cypherCypher,Sentinel,Weak / C,38.37,-13.06,46.53%,2.47%,154.28,1.51
deadlockDeadlock,Sentinel,Fair / B,43.30,+9.99,50.95%,1.53%,160.92,1.70
fadeFade,Initiator,Good / A,49.11,+3.73,51.61%,3.04%,157.34,1.83
gekkoGekko,Initiator,Fair / B,42.48,+1.43,50.87%,2.77%,133.94,1.44
harborHarbor,Controller,Weak / C,41.49,-0.61,48.60%,2.07%,158.93,1.67
isoIso,Duelist,Strong / S,61.77,-2.06,52.30%,6.37%,194.71,1.79
jettJett,Duelist,God / S+,96.43,+6.03,52.02%,19.41%,187.00,1.75
kayoKAY/O,Initiator,Good / A,46.22,-6.58,52.39%,1.36%,165.90,1.84
killjoyKilljoy,Sentinel,Bad / D,33.91,-10.31,46.38%,1.03%,151.84,1.50
neonNeon,Duelist,Strong / S,62.61,+2.81,53.28%,7.13%,176.41,1.66
omenOmen,Controller,Bad / D,34.58,-8.45,46.41%,1.57%,145.40,1.46
phoenixPhoenix,Duelist,Good / A,55.02,+3.47,54.92%,3.13%,176.91,1.83
razeRaze,Duelist,Good / A,51.05,+9.27,54.14%,2.32%,185.44,1.65
reynaReyna,Duelist,God / S+,81.34,+7.33,53.38%,13.19%,185.06,1.81
sageSage,Sentinel,Fair / B,42.58,-4.08,49.41%,3.67%,130.75,1.41
skyeSkye,Initiator,Fair / B,45.26,+0.31,52.88%,1.36%,166.67,1.64
sovaSova,Initiator,Fair / B,44.05,+2.93,52.23%,1.52%,161.38,1.59
viperViper,Controller,Weak / C,39.52,-2.72,45.74%,2.47%,161.96,1.70
vyseVyse,Sentinel,Good / A,51.31,-3.80,54.63%,2.53%,161.63,1.77
yoruYoru,Duelist,Fair / B,45.87,-2.46,49.34%,3.50%,160.16,1.60
