Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,23.81,-10.60,48.66%,0.41%,123.14,1.32
breachBreach,Initiator,Weak / C,29.72,+2.21,49.91%,0.84%,119.72,1.26
brimstoneBrimstone,Controller,Fair / B,47.82,+1.41,50.02%,3.51%,112.71,1.29
chamberChamber,Sentinel,Good / A,51.59,-2.98,49.81%,3.29%,133.94,1.31
cloveClove,Controller,Strong / S,68.05,+0.96,50.97%,4.59%,136.39,1.37
cypherCypher,Sentinel,Fair / B,42.34,-0.50,49.73%,2.88%,117.81,1.24
deadlockDeadlock,Sentinel,Weak / C,29.64,-2.02,49.66%,1.41%,116.78,1.18
fadeFade,Initiator,Fair / B,33.80,+0.25,49.37%,2.38%,110.81,1.18
gekkoGekko,Initiator,Good / A,53.86,+1.08,50.00%,5.09%,111.32,1.12
harborHarbor,Controller,Bad / D,19.64,+3.24,48.62%,0.88%,112.97,1.15
isoIso,Duelist,Good / A,52.20,+0.97,49.52%,3.84%,134.05,1.23
jettJett,Duelist,God / S+,95.18,-0.79,50.33%,9.67%,128.50,1.24
kayoKAY/O,Initiator,Weak / C,31.03,-0.71,48.82%,2.04%,112.66,1.24
killjoyKilljoy,Sentinel,Fair / B,37.72,+1.67,50.66%,1.85%,121.00,1.16
neonNeon,Duelist,Strong / S,62.12,+2.19,49.81%,5.64%,124.51,1.18
omenOmen,Controller,Good / A,48.95,+0.76,49.06%,4.44%,119.44,1.18
phoenixPhoenix,Duelist,Strong / S,84.08,+0.60,50.03%,8.81%,121.18,1.17
razeRaze,Duelist,Good / A,47.96,-0.60,49.85%,3.20%,130.90,1.22
reynaReyna,Duelist,God / S+,96.22,+1.24,50.10%,9.15%,138.51,1.35
sageSage,Sentinel,Strong / S,92.94,+0.43,50.50%,10.52%,104.79,1.14
skyeSkye,Initiator,Bad / D,26.89,+3.99,49.45%,1.56%,106.27,1.17
sovaSova,Initiator,Good / A,60.38,-0.50,49.92%,5.94%,111.39,1.15
viperViper,Controller,Weak / C,29.18,+2.57,49.65%,1.52%,117.14,1.13
vyseVyse,Sentinel,Fair / B,38.91,-7.46,49.37%,2.67%,119.88,1.21
yoruYoru,Duelist,Fair / B,45.97,+2.60,49.19%,3.84%,121.89,1.18
