Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,43.07,-2.97,50.25%,2.34%,145.03,1.61
breachBreach,Initiator,Weak / C,36.43,-0.51,50.43%,1.21%,141.57,1.54
brimstoneBrimstone,Controller,Weak / C,37.06,+1.32,50.53%,1.10%,141.23,1.61
chamberChamber,Sentinel,Strong / S,71.44,-3.76,50.35%,7.91%,154.63,1.53
cloveClove,Controller,Strong / S,72.68,+3.67,52.72%,6.31%,160.44,1.70
cypherCypher,Sentinel,Good / A,45.59,-0.65,51.00%,2.85%,139.47,1.53
deadlockDeadlock,Sentinel,Bad / D,35.02,+0.69,50.10%,1.38%,140.59,1.45
fadeFade,Initiator,Fair / B,41.53,-1.55,50.59%,2.67%,131.88,1.46
gekkoGekko,Initiator,Good / A,46.80,+0.27,50.77%,3.81%,132.63,1.39
harborHarbor,Controller,Fair / B,40.17,+3.87,49.91%,2.50%,138.90,1.47
isoIso,Duelist,Strong / S,58.11,-0.11,50.85%,4.53%,168.59,1.55
jettJett,Duelist,God / S+,93.56,-2.42,50.51%,12.13%,161.36,1.51
kayoKAY/O,Initiator,Bad / D,35.54,+3.16,48.74%,2.05%,137.01,1.53
killjoyKilljoy,Sentinel,Weak / C,36.45,+3.29,49.94%,1.89%,141.34,1.39
neonNeon,Duelist,Strong / S,57.90,+0.07,50.46%,5.79%,146.10,1.39
omenOmen,Controller,Fair / B,43.86,-1.54,48.90%,3.67%,141.56,1.47
phoenixPhoenix,Duelist,Good / A,46.79,-0.77,49.99%,2.88%,161.65,1.56
razeRaze,Duelist,Good / A,51.10,+0.26,50.30%,4.07%,155.59,1.45
reynaReyna,Duelist,God / S+,97.79,+0.47,51.11%,12.19%,165.22,1.64
sageSage,Sentinel,Good / A,51.87,+1.45,50.07%,5.36%,125.88,1.40
skyeSkye,Initiator,Bad / D,36.39,+5.15,49.85%,1.92%,134.01,1.47
sovaSova,Initiator,Fair / B,41.03,+6.59,49.66%,2.61%,143.56,1.49
viperViper,Controller,Weak / C,39.96,-2.47,50.44%,1.97%,143.16,1.50
vyseVyse,Sentinel,Good / A,46.13,-15.26,49.86%,3.59%,140.94,1.49
yoruYoru,Duelist,Fair / B,43.75,+1.77,49.79%,3.28%,143.82,1.42
