Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,35.90,+1.36,49.56%,1.50%,132.39,1.48
breachBreach,Initiator,Weak / C,36.84,+6.85,50.22%,1.53%,130.22,1.41
brimstoneBrimstone,Controller,Fair / B,40.31,+4.15,49.85%,1.72%,135.70,1.53
chamberChamber,Sentinel,Strong / S,68.19,-2.72,50.11%,6.65%,145.51,1.46
cloveClove,Controller,God / S+,79.58,+0.23,51.40%,6.83%,151.17,1.57
cypherCypher,Sentinel,Good / A,47.15,-1.02,50.42%,3.31%,128.54,1.42
deadlockDeadlock,Sentinel,Weak / C,35.39,+2.26,50.02%,1.81%,128.42,1.34
fadeFade,Initiator,Fair / B,40.48,-1.23,50.22%,2.67%,124.06,1.37
gekkoGekko,Initiator,Good / A,49.84,+0.86,50.43%,4.44%,125.22,1.32
harborHarbor,Controller,Bad / D,30.52,+1.11,48.46%,2.20%,129.62,1.36
isoIso,Duelist,Good / A,58.67,+2.27,50.15%,4.40%,154.80,1.45
jettJett,Duelist,Strong / S,73.30,+0.03,49.77%,8.01%,148.72,1.41
kayoKAY/O,Initiator,Bad / D,33.49,+1.17,48.80%,2.24%,126.58,1.43
killjoyKilljoy,Sentinel,Fair / B,42.95,-2.99,50.50%,2.66%,133.44,1.32
neonNeon,Duelist,Strong / S,60.49,+1.18,50.23%,5.81%,140.35,1.35
omenOmen,Controller,Good / A,53.38,+2.18,49.62%,4.95%,135.13,1.42
phoenixPhoenix,Duelist,Good / A,50.86,+3.29,50.20%,3.07%,149.02,1.47
razeRaze,Duelist,Good / A,52.38,-0.06,49.60%,4.46%,145.48,1.38
reynaReyna,Duelist,God / S+,99.19,+1.06,50.83%,10.91%,156.36,1.56
sageSage,Sentinel,Strong / S,59.46,+2.29,50.34%,6.66%,117.65,1.33
skyeSkye,Initiator,Bad / D,32.65,-2.44,49.01%,2.23%,124.61,1.38
sovaSova,Initiator,Weak / C,39.69,-3.44,49.30%,3.01%,132.53,1.36
viperViper,Controller,Fair / B,40.32,-1.97,50.22%,1.76%,137.27,1.43
vyseVyse,Sentinel,Fair / B,47.06,-15.51,49.92%,3.66%,132.78,1.40
yoruYoru,Duelist,Fair / B,41.89,+1.07,48.98%,3.53%,137.01,1.36
