Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,33.49,-14.54,49.82%,1.29%,143.28,1.57
breachBreach,Initiator,Weak / C,36.16,-3.09,50.83%,1.71%,136.67,1.49
brimstoneBrimstone,Controller,Fair / B,38.04,-1.44,51.00%,1.54%,139.24,1.64
chamberChamber,Sentinel,Good / A,51.99,-8.18,51.40%,4.06%,152.46,1.49
cloveClove,Controller,Strong / S,82.35,+4.57,53.15%,7.83%,169.41,1.78
cypherCypher,Sentinel,Good / A,55.44,+4.54,50.85%,4.93%,146.28,1.57
deadlockDeadlock,Sentinel,Bad / D,32.54,+1.83,49.62%,1.67%,139.39,1.44
fadeFade,Initiator,Weak / C,33.79,+3.49,50.28%,1.76%,132.41,1.44
gekkoGekko,Initiator,Fair / B,40.98,-0.09,50.57%,3.31%,130.88,1.34
harborHarbor,Controller,Bad / D,22.15,+1.44,48.30%,0.61%,133.90,1.38
isoIso,Duelist,Good / A,56.29,-0.51,50.79%,4.02%,180.19,1.65
jettJett,Duelist,God / S+,88.71,-7.85,49.62%,11.92%,157.62,1.46
kayoKAY/O,Initiator,Bad / D,30.19,-6.35,48.07%,1.86%,136.98,1.50
killjoyKilljoy,Sentinel,Fair / B,43.60,+8.38,52.90%,1.92%,147.31,1.47
neonNeon,Duelist,Strong / S,60.43,+0.78,51.88%,5.38%,154.60,1.50
omenOmen,Controller,Good / A,55.55,-0.88,50.19%,5.26%,145.75,1.58
phoenixPhoenix,Duelist,Good / A,51.62,+3.34,51.34%,3.53%,161.76,1.58
razeRaze,Duelist,Strong / S,71.73,+6.22,51.48%,7.35%,164.30,1.55
reynaReyna,Duelist,God / S+,93.96,+8.31,51.85%,11.10%,166.56,1.65
sageSage,Sentinel,Strong / S,63.20,+0.98,50.97%,7.04%,131.46,1.47
skyeSkye,Initiator,Fair / B,43.61,+3.96,50.65%,3.00%,138.20,1.56
sovaSova,Initiator,Fair / B,43.19,+5.55,50.58%,2.85%,144.94,1.53
viperViper,Controller,Good / A,44.53,+17.26,54.68%,1.27%,137.92,1.56
vyseVyse,Sentinel,Fair / B,43.76,-18.06,50.44%,3.15%,142.88,1.51
yoruYoru,Duelist,Weak / C,32.71,-9.67,47.71%,2.95%,138.19,1.33
