Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,39.24,-8.48,49.27%,1.79%,161.70,1.75
breachBreach,Initiator,Fair / B,38.86,-0.79,50.98%,1.55%,148.22,1.69
brimstoneBrimstone,Controller,Weak / C,37.85,+1.30,50.99%,0.51%,165.94,1.87
chamberChamber,Sentinel,Good / A,52.19,-2.24,50.81%,4.35%,168.45,1.64
cloveClove,Controller,Strong / S,76.99,+8.31,53.02%,8.56%,178.64,1.88
cypherCypher,Sentinel,Good / A,52.11,+3.95,51.64%,4.50%,148.71,1.64
deadlockDeadlock,Sentinel,Fair / B,39.74,-6.04,51.71%,1.47%,155.69,1.62
fadeFade,Initiator,Weak / C,38.01,+2.78,51.93%,1.26%,145.54,1.61
gekkoGekko,Initiator,Weak / C,36.05,-1.99,49.37%,2.23%,140.79,1.42
harborHarbor,Controller,Bad / D,30.27,-4.67,49.45%,0.43%,145.57,1.56
isoIso,Duelist,Strong / S,58.84,+1.75,52.38%,4.92%,180.14,1.71
jettJett,Duelist,God / S+,96.63,+1.17,51.11%,14.47%,173.93,1.62
kayoKAY/O,Initiator,Bad / D,35.35,-6.01,48.41%,1.56%,152.12,1.68
killjoyKilljoy,Sentinel,Fair / B,39.17,-2.71,52.54%,1.40%,151.65,1.50
neonNeon,Duelist,Good / A,52.95,+0.97,51.10%,4.86%,161.22,1.51
omenOmen,Controller,Good / A,54.62,+9.82,52.11%,4.56%,156.33,1.72
phoenixPhoenix,Duelist,Good / A,49.06,+5.44,52.65%,2.45%,178.82,1.77
razeRaze,Duelist,Strong / S,76.37,+7.29,50.86%,9.87%,174.36,1.61
reynaReyna,Duelist,God / S+,84.82,-0.06,51.18%,11.50%,174.88,1.70
sageSage,Sentinel,Strong / S,58.10,+3.18,52.00%,6.26%,136.30,1.54
skyeSkye,Initiator,Good / A,49.15,+6.13,51.73%,3.67%,150.44,1.67
sovaSova,Initiator,Weak / C,37.02,+4.25,49.80%,1.57%,156.57,1.58
viperViper,Controller,Bad / D,29.78,-5.47,48.04%,0.62%,153.52,1.57
vyseVyse,Sentinel,Fair / B,47.06,-11.20,51.13%,3.02%,161.27,1.72
yoruYoru,Duelist,Fair / B,39.75,-6.70,49.16%,2.63%,153.60,1.53
