Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,27.11,-2.38,49.01%,0.83%,127.16,1.39
breachBreach,Initiator,Weak / C,37.55,+10.24,50.00%,1.87%,125.67,1.32
brimstoneBrimstone,Controller,Fair / B,45.42,+6.57,49.95%,2.13%,130.33,1.45
chamberChamber,Sentinel,Good / A,49.94,-4.47,49.51%,4.02%,135.57,1.32
cloveClove,Controller,God / S+,88.69,+1.92,51.26%,6.76%,143.34,1.49
cypherCypher,Sentinel,Strong / S,63.24,-5.38,50.30%,5.57%,125.50,1.38
deadlockDeadlock,Sentinel,Fair / B,42.89,+2.28,50.59%,2.11%,125.63,1.30
fadeFade,Initiator,Weak / C,39.18,-0.96,50.09%,2.48%,119.95,1.31
gekkoGekko,Initiator,Fair / B,47.57,+2.49,49.92%,4.72%,120.10,1.23
harborHarbor,Controller,Bad / D,16.30,-6.28,48.43%,0.95%,121.00,1.27
isoIso,Duelist,Good / A,57.43,+11.79,49.95%,3.99%,144.58,1.34
jettJett,Duelist,Good / A,57.75,+1.97,49.15%,5.87%,138.47,1.30
kayoKAY/O,Initiator,Bad / D,29.99,-1.44,48.81%,2.35%,118.87,1.36
killjoyKilljoy,Sentinel,Good / A,48.51,+0.50,50.55%,2.86%,130.33,1.30
neonNeon,Duelist,Good / A,56.36,+0.88,49.62%,5.63%,131.70,1.27
omenOmen,Controller,Strong / S,61.49,+2.15,49.28%,6.53%,130.38,1.35
phoenixPhoenix,Duelist,Good / A,52.16,+5.48,49.92%,3.21%,139.84,1.37
razeRaze,Duelist,Strong / S,67.33,+6.92,49.99%,5.85%,142.21,1.34
reynaReyna,Duelist,God / S+,98.15,-0.75,50.15%,10.09%,146.38,1.44
sageSage,Sentinel,Strong / S,69.96,-2.28,50.40%,7.80%,114.99,1.31
skyeSkye,Initiator,Weak / C,32.53,-4.53,49.22%,2.67%,116.28,1.33
sovaSova,Initiator,Fair / B,41.90,+1.01,49.89%,2.88%,127.04,1.29
viperViper,Controller,Weak / C,32.94,-5.97,49.53%,1.58%,128.27,1.31
vyseVyse,Sentinel,Fair / B,42.71,-14.19,49.66%,3.31%,124.73,1.32
yoruYoru,Duelist,Fair / B,42.92,-5.59,49.13%,3.94%,129.41,1.29
