Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.09,-9.99,49.19%,1.64%,151.38,1.68
breachBreach,Initiator,Fair / B,37.84,-2.65,50.28%,1.93%,143.66,1.60
brimstoneBrimstone,Controller,Bad / D,32.91,+1.60,49.71%,0.92%,147.21,1.69
chamberChamber,Sentinel,Good / A,54.45,-8.84,50.66%,4.61%,159.91,1.58
cloveClove,Controller,Strong / S,78.23,+2.68,52.22%,7.89%,166.62,1.78
cypherCypher,Sentinel,Good / A,51.47,-2.21,50.41%,4.55%,143.13,1.57
deadlockDeadlock,Sentinel,Weak / C,36.33,-5.57,50.06%,1.74%,147.93,1.55
fadeFade,Initiator,Bad / D,34.17,-0.49,50.50%,1.41%,139.02,1.53
gekkoGekko,Initiator,Weak / C,36.31,-3.62,49.69%,2.43%,137.46,1.41
harborHarbor,Controller,Bad / D,24.17,-3.10,48.16%,0.47%,145.40,1.44
isoIso,Duelist,Good / A,57.54,+8.54,51.64%,4.30%,177.74,1.62
jettJett,Duelist,God / S+,95.34,-1.13,50.51%,12.37%,166.55,1.54
kayoKAY/O,Initiator,Weak / C,35.79,+3.76,49.23%,1.98%,141.42,1.60
killjoyKilljoy,Sentinel,Fair / B,36.92,+0.93,51.56%,1.64%,142.67,1.44
neonNeon,Duelist,Good / A,49.43,+2.48,49.82%,4.50%,152.55,1.42
omenOmen,Controller,Strong / S,61.49,+7.07,50.99%,5.91%,150.65,1.63
phoenixPhoenix,Duelist,Good / A,47.83,+3.23,51.47%,2.70%,167.74,1.64
razeRaze,Duelist,Strong / S,78.95,+4.42,51.43%,8.80%,167.43,1.57
reynaReyna,Duelist,God / S+,94.45,+2.18,51.79%,11.34%,169.84,1.66
sageSage,Sentinel,Strong / S,61.54,+0.36,51.05%,6.58%,133.37,1.51
skyeSkye,Initiator,Fair / B,45.81,+5.11,50.85%,3.32%,139.88,1.59
sovaSova,Initiator,Fair / B,37.42,+2.78,50.06%,2.12%,145.01,1.50
viperViper,Controller,Fair / B,39.69,+11.16,53.36%,0.85%,153.12,1.60
vyseVyse,Sentinel,Good / A,47.32,-14.24,50.97%,3.34%,149.34,1.59
yoruYoru,Duelist,Fair / B,38.51,-4.47,48.90%,2.65%,152.83,1.48
