Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,32.74,+2.09,49.33%,1.20%,140.17,1.56
breachBreach,Initiator,Weak / C,36.75,+1.73,49.84%,2.03%,137.10,1.46
brimstoneBrimstone,Controller,Fair / B,38.84,+1.90,50.12%,1.60%,139.85,1.61
chamberChamber,Sentinel,Good / A,54.16,-4.33,49.90%,4.53%,151.11,1.49
cloveClove,Controller,Strong / S,80.25,-2.34,51.81%,7.23%,156.86,1.65
cypherCypher,Sentinel,Good / A,59.29,-0.61,50.79%,5.21%,137.27,1.53
deadlockDeadlock,Sentinel,Weak / C,38.03,+2.80,50.79%,1.63%,138.03,1.45
fadeFade,Initiator,Weak / C,34.64,-1.22,50.14%,1.86%,128.67,1.42
gekkoGekko,Initiator,Fair / B,43.64,-1.10,50.51%,3.50%,129.09,1.34
harborHarbor,Controller,Bad / D,19.73,+0.72,48.22%,0.66%,129.07,1.35
isoIso,Duelist,Good / A,55.28,+3.06,50.36%,4.03%,161.75,1.50
jettJett,Duelist,God / S+,81.55,+1.23,50.25%,9.19%,155.24,1.45
kayoKAY/O,Initiator,Bad / D,34.57,+4.45,49.18%,2.10%,131.79,1.50
killjoyKilljoy,Sentinel,Fair / B,38.65,+0.31,50.59%,2.19%,137.20,1.37
neonNeon,Duelist,Good / A,56.70,+3.16,50.71%,5.08%,144.07,1.37
omenOmen,Controller,Strong / S,62.11,+1.87,49.64%,6.36%,141.50,1.51
phoenixPhoenix,Duelist,Good / A,48.62,-1.51,50.42%,2.90%,154.98,1.53
razeRaze,Duelist,Strong / S,72.29,-2.07,50.22%,7.46%,157.16,1.46
reynaReyna,Duelist,God / S+,98.53,+0.23,50.88%,11.15%,161.18,1.59
sageSage,Sentinel,Strong / S,65.35,-0.99,50.83%,7.09%,124.27,1.42
skyeSkye,Initiator,Fair / B,38.88,+0.13,49.65%,2.83%,128.16,1.46
sovaSova,Initiator,Fair / B,39.28,+2.02,49.86%,2.51%,138.44,1.43
viperViper,Controller,Weak / C,35.84,+6.39,50.39%,1.18%,143.12,1.49
vyseVyse,Sentinel,Good / A,44.04,-17.70,49.81%,3.39%,136.66,1.45
yoruYoru,Duelist,Fair / B,40.25,-0.18,49.09%,3.10%,142.56,1.41
