Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,43.98,-15.66,52.71%,2.19%,164.07,1.82
breachBreach,Initiator,Fair / B,43.38,+6.49,55.90%,1.52%,149.10,1.73
brimstoneBrimstone,Controller,Weak / C,41.16,-9.80,56.14%,0.35%,142.89,2.01
chamberChamber,Sentinel,Good / A,48.36,-4.54,52.54%,3.68%,168.11,1.68
cloveClove,Controller,Strong / S,78.34,+3.80,54.68%,9.99%,192.73,2.02
cypherCypher,Sentinel,Fair / B,45.45,-0.11,49.55%,4.10%,155.93,1.69
deadlockDeadlock,Sentinel,Fair / B,45.84,+18.31,53.77%,1.64%,181.63,1.98
fadeFade,Initiator,Bad / D,34.73,+4.55,49.82%,1.05%,157.81,1.67
gekkoGekko,Initiator,Weak / C,43.05,-0.33,55.03%,1.89%,154.05,1.59
harborHarbor,Controller,Bad / D,31.56,+1.99,49.38%,0.39%,160.67,1.61
isoIso,Duelist,Strong / S,60.52,+2.81,54.26%,5.08%,205.30,1.96
jettJett,Duelist,God / S+,92.17,+4.94,53.16%,15.24%,180.36,1.70
kayoKAY/O,Initiator,Weak / C,37.42,+2.63,49.88%,1.57%,160.72,1.74
killjoyKilljoy,Sentinel,Bad / D,32.26,-1.70,49.89%,1.17%,144.20,1.43
neonNeon,Duelist,Strong / S,56.90,+3.93,54.95%,5.47%,168.35,1.57
omenOmen,Controller,Fair / B,43.29,-6.25,49.25%,3.65%,159.17,1.63
phoenixPhoenix,Duelist,Fair / B,44.47,-4.76,53.45%,1.63%,179.68,1.88
razeRaze,Duelist,Strong / S,71.45,+3.88,51.22%,9.97%,187.53,1.72
reynaReyna,Duelist,God / S+,79.48,+3.05,50.61%,12.21%,186.80,1.80
sageSage,Sentinel,Good / A,52.95,+0.84,49.94%,6.45%,147.28,1.58
skyeSkye,Initiator,Good / A,45.89,-6.63,53.26%,2.99%,157.46,1.68
sovaSova,Initiator,Weak / C,35.51,-6.78,50.00%,1.73%,150.05,1.50
viperViper,Controller,Good / A,47.05,+17.20,59.89%,0.66%,152.87,1.95
vyseVyse,Sentinel,Good / A,47.86,-16.24,52.88%,2.80%,177.41,1.88
yoruYoru,Duelist,Good / A,46.94,-1.63,53.96%,2.60%,169.39,1.77
