Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,25.71,+0.98,49.05%,0.34%,122.92,1.30
breachBreach,Initiator,Weak / C,27.75,-4.13,49.15%,0.93%,118.93,1.24
brimstoneBrimstone,Controller,Fair / B,49.03,-0.62,49.91%,3.61%,111.20,1.30
chamberChamber,Sentinel,Fair / B,45.86,+2.57,49.59%,2.79%,129.70,1.26
cloveClove,Controller,Strong / S,68.77,-0.22,50.74%,4.70%,135.78,1.37
cypherCypher,Sentinel,Good / A,50.38,-1.57,50.02%,3.48%,119.68,1.28
deadlockDeadlock,Sentinel,Weak / C,31.23,+1.68,49.79%,1.42%,116.06,1.17
fadeFade,Initiator,Fair / B,33.24,-0.59,49.44%,2.26%,109.13,1.16
gekkoGekko,Initiator,Good / A,50.62,+0.59,49.74%,4.90%,108.82,1.08
harborHarbor,Controller,Bad / D,16.11,+3.01,48.44%,0.66%,108.95,1.10
isoIso,Duelist,Good / A,51.65,-0.81,49.52%,3.71%,133.08,1.22
jettJett,Duelist,Strong / S,92.58,+0.98,50.13%,9.50%,126.27,1.22
kayoKAY/O,Initiator,Weak / C,32.25,+0.84,49.08%,1.99%,110.80,1.23
killjoyKilljoy,Sentinel,Fair / B,35.83,+1.33,50.15%,1.82%,119.70,1.15
neonNeon,Duelist,Strong / S,59.90,+1.45,49.59%,5.51%,122.71,1.16
omenOmen,Controller,Good / A,53.02,+0.32,48.99%,4.80%,120.46,1.20
phoenixPhoenix,Duelist,Strong / S,82.95,+1.04,49.90%,8.78%,118.57,1.16
razeRaze,Duelist,Good / A,54.96,-1.18,49.96%,3.60%,135.42,1.27
reynaReyna,Duelist,God / S+,95.36,+1.55,50.01%,9.14%,136.77,1.33
sageSage,Sentinel,God / S+,96.01,+0.49,50.60%,10.74%,104.79,1.17
skyeSkye,Initiator,Weak / C,30.08,-1.66,49.32%,1.73%,108.92,1.20
sovaSova,Initiator,Good / A,57.74,-2.26,49.76%,5.73%,108.54,1.13
viperViper,Controller,Bad / D,26.30,+0.06,49.02%,1.48%,115.81,1.10
vyseVyse,Sentinel,Fair / B,37.73,-6.35,49.18%,2.60%,117.78,1.20
yoruYoru,Duelist,Fair / B,44.95,+2.52,49.09%,3.80%,119.44,1.15
