Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.34,-10.44,50.28%,1.37%,144.42,1.60
breachBreach,Initiator,Weak / C,36.81,-1.62,50.31%,1.84%,139.08,1.50
brimstoneBrimstone,Controller,Fair / B,38.53,+0.96,51.19%,1.25%,141.82,1.66
chamberChamber,Sentinel,Good / A,56.26,-4.55,50.59%,4.75%,152.78,1.52
cloveClove,Controller,Strong / S,81.37,+4.21,52.53%,7.55%,160.78,1.71
cypherCypher,Sentinel,Good / A,56.09,+1.70,50.54%,4.94%,142.45,1.55
deadlockDeadlock,Sentinel,Weak / C,36.44,+11.19,50.55%,1.55%,143.21,1.51
fadeFade,Initiator,Weak / C,34.02,+3.65,50.22%,1.67%,132.66,1.47
gekkoGekko,Initiator,Fair / B,39.76,+2.53,50.35%,2.95%,130.56,1.37
harborHarbor,Controller,Bad / D,16.17,+5.37,46.27%,0.58%,134.31,1.37
isoIso,Duelist,Good / A,55.70,+1.56,50.80%,4.16%,166.03,1.53
jettJett,Duelist,God / S+,90.68,-0.72,50.18%,10.95%,159.94,1.48
kayoKAY/O,Initiator,Bad / D,32.67,-5.30,48.70%,1.94%,135.14,1.52
killjoyKilljoy,Sentinel,Fair / B,41.50,+3.50,51.73%,2.01%,144.38,1.45
neonNeon,Duelist,Good / A,51.51,+0.69,50.10%,4.68%,146.25,1.38
omenOmen,Controller,Strong / S,60.88,+0.16,49.62%,6.23%,143.36,1.54
phoenixPhoenix,Duelist,Good / A,46.81,-0.28,50.41%,2.78%,161.02,1.58
razeRaze,Duelist,Strong / S,77.07,-1.76,50.53%,8.21%,162.64,1.51
reynaReyna,Duelist,God / S+,97.82,+0.22,51.12%,11.30%,163.85,1.61
sageSage,Sentinel,Strong / S,63.28,-3.17,50.70%,6.85%,126.84,1.44
skyeSkye,Initiator,Fair / B,44.18,+2.39,51.03%,2.96%,132.85,1.51
sovaSova,Initiator,Fair / B,40.05,+2.49,50.26%,2.31%,144.53,1.50
viperViper,Controller,Bad / D,29.85,+0.30,49.60%,0.96%,141.84,1.47
vyseVyse,Sentinel,Good / A,45.28,-17.46,50.09%,3.30%,143.35,1.52
yoruYoru,Duelist,Fair / B,40.92,+4.37,49.44%,2.92%,146.41,1.45
