Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
breachBreach,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
brimstoneBrimstone,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
chamberChamber,Sentinel,Fair / B,46.93,-17.69,59.26%,3.39%,161.83,1.53
cloveClove,Controller,Strong / S,67.58,+15.95,60.71%,10.55%,239.97,2.54
cypherCypher,Sentinel,Good / A,53.51,NEW,54.14%,6.57%,211.20,2.06
deadlockDeadlock,Sentinel,Bad / D,27.63,NEW,39.02%,1.72%,116.34,0.97
fadeFade,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
gekkoGekko,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
harborHarbor,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
isoIso,Duelist,Fair / B,47.16,-3.16,47.92%,2.01%,299.77,2.55
jettJett,Duelist,God / S+,69.15,-26.34,42.08%,22.19%,169.25,1.42
kayoKAY/O,Initiator,Weak / C,31.00,-9.90,40.91%,0.92%,158.05,1.44
killjoyKilljoy,Sentinel,Good / A,54.76,NEW,68.42%,1.59%,222.37,2.27
neonNeon,Duelist,Strong / S,61.69,-3.20,61.11%,7.54%,225.98,2.46
omenOmen,Controller,Weak / C,44.64,+0.34,52.46%,2.55%,172.25,2.20
phoenixPhoenix,Duelist,Fair / B,47.85,NEW,53.47%,4.23%,206.35,1.84
razeRaze,Duelist,Good / A,54.78,+22.87,58.74%,5.99%,202.84,2.02
reynaReyna,Duelist,Strong / S,68.04,+34.51,60.26%,12.65%,203.35,2.18
sageSage,Sentinel,Weak / C,46.34,+13.76,52.48%,4.23%,175.39,1.89
skyeSkye,Initiator,Fair / B,46.77,NEW,50.52%,4.06%,187.26,2.23
sovaSova,Initiator,Fair / B,51.46,NEW,55.67%,4.06%,201.19,2.47
viperViper,Controller,Good / A,60.62,NEW,82.54%,2.64%,118.03,2.13
vyseVyse,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
yoruYoru,Duelist,Bad / D,20.09,NEW,31.58%,1.59%,94.89,0.50
