Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,32.98,-3.47,49.79%,1.00%,134.38,1.48
breachBreach,Initiator,Weak / C,38.52,+2.62,50.18%,2.02%,131.68,1.41
brimstoneBrimstone,Controller,Fair / B,40.57,-2.75,49.99%,1.91%,134.76,1.53
chamberChamber,Sentinel,Good / A,53.50,-0.42,49.70%,4.41%,144.63,1.43
cloveClove,Controller,God / S+,83.07,-2.49,51.33%,7.24%,149.88,1.58
cypherCypher,Sentinel,Good / A,60.34,-1.36,50.26%,5.48%,132.70,1.47
deadlockDeadlock,Sentinel,Weak / C,36.65,+7.77,50.34%,1.78%,129.94,1.38
fadeFade,Initiator,Weak / C,36.62,+2.84,50.10%,2.11%,126.49,1.39
gekkoGekko,Initiator,Fair / B,43.94,+0.55,49.97%,3.89%,126.16,1.30
harborHarbor,Controller,Bad / D,17.15,-5.40,48.08%,0.78%,126.28,1.33
isoIso,Duelist,Good / A,56.43,+2.69,50.27%,4.02%,153.37,1.43
jettJett,Duelist,Strong / S,72.68,+1.27,49.99%,7.48%,148.62,1.39
kayoKAY/O,Initiator,Bad / D,29.69,+2.17,48.46%,2.31%,123.88,1.42
killjoyKilljoy,Sentinel,Fair / B,43.09,+1.86,50.69%,2.62%,133.27,1.34
neonNeon,Duelist,Good / A,54.78,-0.83,49.94%,5.12%,138.59,1.33
omenOmen,Controller,Strong / S,64.31,+1.79,49.42%,6.72%,137.62,1.46
phoenixPhoenix,Duelist,Good / A,51.50,+3.69,50.38%,3.08%,148.88,1.47
razeRaze,Duelist,Strong / S,69.11,+2.73,50.35%,6.44%,149.12,1.41
reynaReyna,Duelist,God / S+,98.90,+0.36,50.63%,10.51%,155.98,1.54
sageSage,Sentinel,Strong / S,67.38,+0.51,50.70%,7.31%,119.90,1.37
skyeSkye,Initiator,Fair / B,40.61,+2.88,50.26%,2.74%,122.54,1.41
sovaSova,Initiator,Fair / B,41.10,+1.19,49.93%,2.77%,133.10,1.38
viperViper,Controller,Weak / C,33.16,-2.61,49.75%,1.44%,134.72,1.39
vyseVyse,Sentinel,Good / A,44.42,-17.45,49.79%,3.46%,132.48,1.39
yoruYoru,Duelist,Fair / B,39.49,+1.87,49.01%,3.36%,135.21,1.35
