Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,31.46,-2.79,49.59%,0.56%,137.29,1.49
breachBreach,Initiator,Fair / B,36.70,-1.02,49.60%,1.98%,130.26,1.38
brimstoneBrimstone,Controller,Fair / B,34.97,+0.41,49.21%,1.37%,134.75,1.51
chamberChamber,Sentinel,Fair / B,46.80,-3.49,50.26%,2.99%,149.22,1.35
cloveClove,Controller,God / S+,99.28,-0.22,51.14%,11.10%,154.55,1.54
cypherCypher,Sentinel,God / S+,90.97,+2.74,50.27%,11.25%,133.00,1.34
deadlockDeadlock,Sentinel,Fair / B,35.53,-0.36,50.29%,1.46%,135.85,1.32
fadeFade,Initiator,Weak / C,32.93,+0.67,50.04%,1.29%,127.74,1.34
gekkoGekko,Initiator,Good / A,60.38,-0.89,50.30%,6.25%,127.06,1.26
harborHarbor,Controller,Bad / D,23.75,+5.43,48.32%,0.41%,131.94,1.34
isoIso,Duelist,Good / A,55.98,+1.05,50.43%,4.12%,160.92,1.38
jettJett,Duelist,Strong / S,75.25,-2.29,49.99%,8.07%,154.25,1.33
kayoKAY/O,Initiator,Weak / C,34.75,+5.83,49.22%,1.65%,130.74,1.44
killjoyKilljoy,Sentinel,Weak / C,30.50,-2.26,49.70%,0.92%,141.82,1.24
neonNeon,Duelist,Good / A,60.73,+2.08,50.58%,5.53%,146.57,1.29
omenOmen,Controller,Good / A,54.95,+2.00,48.81%,5.40%,135.09,1.39
phoenixPhoenix,Duelist,Good / A,49.77,-0.63,50.45%,3.17%,154.31,1.39
razeRaze,Duelist,Strong / S,65.33,-2.70,49.97%,6.35%,154.53,1.32
reynaReyna,Duelist,Strong / S,86.16,-1.30,50.43%,9.33%,158.85,1.43
sageSage,Sentinel,Good / A,52.15,+3.65,50.73%,4.21%,129.58,1.37
skyeSkye,Initiator,Bad / D,29.73,-0.26,48.20%,1.30%,131.99,1.41
sovaSova,Initiator,Strong / S,65.83,+0.63,49.96%,6.92%,136.52,1.33
viperViper,Controller,Bad / D,22.42,+3.69,48.35%,0.41%,132.47,1.24
vyseVyse,Sentinel,Fair / B,36.91,-12.44,49.31%,2.03%,137.50,1.36
yoruYoru,Duelist,Fair / B,36.78,+2.45,49.69%,1.91%,141.19,1.29
