Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,35.57,-2.91,49.19%,0.60%,143.98,1.53
breachBreach,Initiator,Fair / B,40.09,+2.89,49.68%,1.99%,131.15,1.43
brimstoneBrimstone,Controller,Weak / C,34.69,-2.22,49.40%,0.39%,136.88,1.58
chamberChamber,Sentinel,Good / A,45.52,-3.71,49.92%,2.87%,150.82,1.35
cloveClove,Controller,God / S+,98.74,+0.64,51.04%,13.60%,156.20,1.57
cypherCypher,Sentinel,God / S+,93.25,+0.29,50.18%,13.80%,134.49,1.33
deadlockDeadlock,Sentinel,Fair / B,37.51,+0.71,50.85%,1.08%,137.60,1.35
fadeFade,Initiator,Weak / C,33.90,+0.71,49.52%,0.82%,131.42,1.37
gekkoGekko,Initiator,Good / A,60.34,-1.98,50.06%,6.83%,127.59,1.27
harborHarbor,Controller,Bad / D,29.33,+1.38,47.62%,0.16%,142.80,1.39
isoIso,Duelist,Good / A,54.61,+2.85,50.80%,3.97%,168.46,1.43
jettJett,Duelist,Strong / S,77.48,-2.90,50.02%,9.87%,156.51,1.31
kayoKAY/O,Initiator,Weak / C,34.39,+1.78,48.27%,1.05%,134.06,1.47
killjoyKilljoy,Sentinel,Bad / D,30.64,-1.11,48.93%,0.25%,144.23,1.27
neonNeon,Duelist,Good / A,53.70,+2.26,50.70%,4.54%,150.05,1.30
omenOmen,Controller,Good / A,52.10,-1.01,48.26%,4.97%,136.73,1.45
phoenixPhoenix,Duelist,Good / A,44.80,+0.86,50.24%,2.26%,158.63,1.41
razeRaze,Duelist,Strong / S,68.39,-3.29,49.79%,8.01%,155.75,1.29
reynaReyna,Duelist,Strong / S,75.32,-1.90,50.29%,8.95%,160.42,1.42
sageSage,Sentinel,Fair / B,36.46,-0.73,49.71%,1.32%,132.54,1.36
skyeSkye,Initiator,Weak / C,32.61,+2.87,49.10%,0.73%,130.78,1.36
sovaSova,Initiator,Strong / S,71.51,+0.20,49.88%,8.90%,139.45,1.35
viperViper,Controller,Bad / D,31.42,+10.53,49.64%,0.09%,142.28,1.33
vyseVyse,Sentinel,Fair / B,40.77,-6.93,50.33%,1.67%,142.91,1.42
yoruYoru,Duelist,Fair / B,36.84,+0.72,49.33%,1.29%,147.10,1.32
