Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,32.45,+7.15,49.50%,0.58%,133.61,1.36
breachBreach,Initiator,Weak / C,34.64,-0.82,49.56%,1.78%,129.00,1.29
brimstoneBrimstone,Controller,Fair / B,44.35,+1.08,49.61%,2.49%,133.92,1.40
chamberChamber,Sentinel,Fair / B,46.22,-2.84,49.43%,3.32%,141.06,1.30
cloveClove,Controller,God / S+,90.66,-4.59,51.10%,8.13%,148.92,1.46
cypherCypher,Sentinel,Strong / S,79.21,-0.65,50.44%,8.97%,129.67,1.34
deadlockDeadlock,Sentinel,Weak / C,34.99,-3.58,49.75%,1.91%,128.29,1.25
fadeFade,Initiator,Fair / B,36.34,+6.68,49.83%,2.03%,124.82,1.28
gekkoGekko,Initiator,Strong / S,59.42,+0.77,50.26%,6.53%,124.53,1.21
harborHarbor,Controller,Bad / D,19.43,-3.48,48.50%,0.92%,124.87,1.24
isoIso,Duelist,Good / A,55.02,+1.69,49.86%,3.74%,150.80,1.31
jettJett,Duelist,Strong / S,62.34,+0.08,49.96%,5.20%,148.55,1.31
kayoKAY/O,Initiator,Weak / C,35.32,+0.61,49.13%,2.35%,125.00,1.35
killjoyKilljoy,Sentinel,Fair / B,41.48,+7.75,50.41%,2.00%,133.24,1.23
neonNeon,Duelist,Good / A,57.16,-0.17,50.06%,4.92%,139.98,1.27
omenOmen,Controller,Good / A,57.75,-1.20,49.20%,6.37%,133.78,1.31
phoenixPhoenix,Duelist,Good / A,53.62,-0.65,49.88%,3.30%,148.53,1.35
razeRaze,Duelist,Good / A,58.96,-1.76,50.00%,4.57%,147.42,1.31
reynaReyna,Duelist,God / S+,98.95,+0.75,50.51%,10.52%,154.29,1.42
sageSage,Sentinel,Strong / S,67.75,-0.05,50.35%,7.94%,120.44,1.27
skyeSkye,Initiator,Fair / B,37.41,+5.35,49.70%,2.38%,122.84,1.31
sovaSova,Initiator,Good / A,47.46,+1.16,49.88%,3.82%,131.83,1.27
viperViper,Controller,Bad / D,25.60,-1.20,48.83%,0.92%,132.72,1.27
vyseVyse,Sentinel,Fair / B,40.71,-12.05,49.79%,2.55%,129.49,1.30
yoruYoru,Duelist,Weak / C,32.77,-0.02,48.63%,2.79%,133.28,1.24
