Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,34.09,-0.74,48.87%,0.79%,141.05,1.50
breachBreach,Initiator,Fair / B,39.70,+0.72,49.88%,2.04%,130.75,1.40
brimstoneBrimstone,Controller,Weak / C,35.12,+1.91,49.49%,0.72%,137.49,1.53
chamberChamber,Sentinel,Good / A,49.42,-3.63,50.05%,3.50%,152.01,1.36
cloveClove,Controller,God / S+,98.59,+0.04,50.86%,12.50%,155.16,1.55
cypherCypher,Sentinel,God / S+,92.71,+0.30,50.14%,12.77%,134.09,1.33
deadlockDeadlock,Sentinel,Fair / B,37.31,+0.83,50.62%,1.22%,137.74,1.34
fadeFade,Initiator,Weak / C,34.20,+0.04,49.82%,1.00%,131.76,1.37
gekkoGekko,Initiator,Good / A,62.10,-2.77,50.03%,6.97%,127.36,1.26
harborHarbor,Controller,Bad / D,23.87,+3.73,46.85%,0.22%,133.07,1.33
isoIso,Duelist,Good / A,54.59,+5.11,50.96%,3.62%,166.65,1.42
jettJett,Duelist,Strong / S,77.50,-3.45,49.85%,9.25%,156.53,1.32
kayoKAY/O,Initiator,Fair / B,35.81,+2.44,48.52%,1.64%,132.66,1.44
killjoyKilljoy,Sentinel,Bad / D,29.99,+1.01,49.33%,0.54%,138.70,1.24
neonNeon,Duelist,Good / A,51.87,+2.51,50.57%,4.03%,148.62,1.30
omenOmen,Controller,Good / A,56.10,-0.06,48.72%,5.61%,136.40,1.43
phoenixPhoenix,Duelist,Good / A,47.83,+2.10,50.32%,2.68%,159.74,1.43
razeRaze,Duelist,Strong / S,66.80,-1.90,50.09%,6.99%,156.90,1.32
reynaReyna,Duelist,Strong / S,81.55,-2.45,50.33%,9.49%,160.82,1.42
sageSage,Sentinel,Fair / B,41.27,+2.69,50.46%,2.38%,127.24,1.33
skyeSkye,Initiator,Weak / C,32.84,-0.87,49.05%,1.14%,130.24,1.35
sovaSova,Initiator,Strong / S,66.40,+0.93,50.09%,7.30%,138.92,1.34
viperViper,Controller,Bad / D,23.88,-0.59,46.61%,0.14%,140.59,1.33
vyseVyse,Sentinel,Fair / B,40.71,-9.79,49.77%,2.09%,139.74,1.39
yoruYoru,Duelist,Fair / B,35.76,+1.91,49.07%,1.40%,145.49,1.32
