Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,31.53,-1.58,49.48%,0.74%,139.56,1.44
breachBreach,Initiator,Fair / B,36.97,+2.06,49.75%,2.04%,133.37,1.35
brimstoneBrimstone,Controller,Fair / B,34.99,-1.06,49.10%,1.61%,136.12,1.46
chamberChamber,Sentinel,Fair / B,51.08,-3.05,49.92%,3.75%,151.56,1.37
cloveClove,Controller,God / S+,98.52,-0.43,51.33%,10.52%,155.69,1.53
cypherCypher,Sentinel,Strong / S,89.48,+1.43,50.25%,11.03%,133.88,1.34
deadlockDeadlock,Sentinel,Fair / B,35.60,+2.01,50.37%,1.49%,134.90,1.31
fadeFade,Initiator,Weak / C,32.06,+2.30,49.74%,1.38%,129.80,1.33
gekkoGekko,Initiator,Strong / S,60.27,-0.10,50.30%,6.31%,128.36,1.26
harborHarbor,Controller,Bad / D,20.68,+3.10,48.03%,0.51%,132.01,1.29
isoIso,Duelist,Good / A,55.52,+1.88,50.41%,3.66%,164.74,1.40
jettJett,Duelist,Strong / S,74.48,-0.45,50.21%,7.48%,158.91,1.36
kayoKAY/O,Initiator,Fair / B,36.28,+2.53,48.92%,2.28%,131.97,1.41
killjoyKilljoy,Sentinel,Bad / D,30.88,+2.73,49.90%,1.19%,136.54,1.23
neonNeon,Duelist,Good / A,53.79,+2.00,50.48%,4.16%,148.83,1.31
omenOmen,Controller,Good / A,59.24,-1.51,48.94%,6.17%,138.25,1.40
phoenixPhoenix,Duelist,Good / A,51.51,+0.99,50.20%,3.12%,160.34,1.43
razeRaze,Duelist,Strong / S,61.89,-1.94,49.91%,5.60%,156.83,1.34
reynaReyna,Duelist,God / S+,96.07,-0.21,50.52%,10.59%,163.53,1.46
sageSage,Sentinel,Good / A,53.58,+1.28,50.36%,4.96%,125.82,1.32
skyeSkye,Initiator,Weak / C,33.01,+2.78,49.41%,1.75%,128.64,1.34
sovaSova,Initiator,Good / A,55.81,-0.76,49.94%,5.10%,139.42,1.34
viperViper,Controller,Bad / D,22.82,-0.61,48.31%,0.36%,139.78,1.32
vyseVyse,Sentinel,Fair / B,39.92,-13.87,49.58%,2.45%,138.53,1.36
yoruYoru,Duelist,Weak / C,34.02,+0.49,49.08%,1.74%,143.72,1.31
