Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,37.64,+0.21,50.23%,0.44%,144.11,1.58
breachBreach,Initiator,Good / A,42.02,+0.83,50.78%,1.80%,133.36,1.52
brimstoneBrimstone,Controller,Bad / D,33.43,+2.96,48.76%,0.23%,137.55,1.53
chamberChamber,Sentinel,Fair / B,41.76,-5.06,50.12%,1.93%,152.86,1.36
cloveClove,Controller,God / S+,98.14,+8.41,50.68%,15.32%,157.75,1.58
cypherCypher,Sentinel,God / S+,90.30,+5.72,50.35%,14.72%,135.26,1.33
deadlockDeadlock,Sentinel,Fair / B,38.63,-3.16,50.71%,1.19%,140.79,1.37
fadeFade,Initiator,Fair / B,39.38,+2.66,51.98%,0.61%,138.93,1.49
gekkoGekko,Initiator,Good / A,55.91,-2.92,50.36%,6.27%,127.79,1.29
harborHarbor,Controller,Bad / D,29.71,+3.49,47.21%,0.08%,144.32,1.40
isoIso,Duelist,Good / A,56.61,+3.02,51.22%,4.75%,167.97,1.41
jettJett,Duelist,Strong / S,74.40,+1.70,50.34%,10.15%,158.03,1.31
kayoKAY/O,Initiator,Weak / C,36.43,-0.68,49.69%,0.65%,135.97,1.55
killjoyKilljoy,Sentinel,Fair / B,38.14,-15.81,52.13%,0.14%,156.73,1.36
neonNeon,Duelist,Good / A,58.04,+2.26,51.10%,5.93%,150.43,1.30
omenOmen,Controller,Good / A,46.09,-2.76,48.12%,3.94%,134.83,1.47
phoenixPhoenix,Duelist,Good / A,43.16,-1.70,50.44%,1.71%,161.56,1.44
razeRaze,Duelist,Strong / S,64.96,-3.27,49.65%,8.08%,157.70,1.29
reynaReyna,Duelist,Strong / S,69.29,-0.26,50.76%,8.25%,161.85,1.43
sageSage,Sentinel,Weak / C,36.32,+1.31,50.23%,0.71%,137.02,1.43
skyeSkye,Initiator,Bad / D,33.80,-1.48,50.10%,0.50%,129.22,1.37
sovaSova,Initiator,Strong / S,72.17,+1.59,50.08%,10.00%,140.53,1.36
viperViper,Controller,Weak / C,37.55,+13.14,51.05%,0.07%,154.51,1.50
vyseVyse,Sentinel,Weak / C,37.55,-8.87,49.26%,1.32%,143.40,1.40
yoruYoru,Duelist,Fair / B,38.57,-1.34,50.39%,1.22%,146.68,1.34
