Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,26.66,+1.50,48.78%,0.35%,126.01,1.31
breachBreach,Initiator,Weak / C,29.75,-2.07,49.30%,1.00%,120.16,1.23
brimstoneBrimstone,Controller,Fair / B,47.85,-1.27,49.67%,3.48%,113.96,1.31
chamberChamber,Sentinel,Fair / B,47.94,-1.76,49.68%,2.88%,133.31,1.28
cloveClove,Controller,Strong / S,70.14,-0.65,50.85%,4.87%,139.21,1.40
cypherCypher,Sentinel,Good / A,56.23,-0.30,50.22%,4.14%,122.28,1.30
deadlockDeadlock,Sentinel,Fair / B,32.50,+1.95,49.88%,1.33%,118.73,1.17
fadeFade,Initiator,Weak / C,32.41,+1.27,49.10%,2.17%,110.24,1.16
gekkoGekko,Initiator,Good / A,55.07,-2.28,49.68%,5.33%,112.33,1.12
harborHarbor,Controller,Bad / D,16.88,+7.83,47.91%,0.66%,111.17,1.12
isoIso,Duelist,Good / A,52.09,+0.13,49.59%,3.64%,135.76,1.23
jettJett,Duelist,God / S+,89.60,-1.21,50.17%,9.17%,129.83,1.24
kayoKAY/O,Initiator,Fair / B,33.94,+3.85,48.86%,2.11%,113.23,1.25
killjoyKilljoy,Sentinel,Weak / C,30.85,-1.23,49.34%,1.58%,119.70,1.12
neonNeon,Duelist,Good / A,60.73,+0.23,49.90%,5.37%,125.05,1.17
omenOmen,Controller,Good / A,51.71,-1.37,48.61%,4.81%,122.00,1.20
phoenixPhoenix,Duelist,Strong / S,80.62,-1.76,49.93%,8.46%,121.71,1.18
razeRaze,Duelist,Good / A,52.32,-2.00,49.49%,3.68%,136.32,1.24
reynaReyna,Duelist,God / S+,97.15,+0.11,50.03%,9.54%,141.76,1.35
sageSage,Sentinel,Strong / S,88.93,-2.30,50.08%,10.34%,105.57,1.15
skyeSkye,Initiator,Weak / C,30.86,+4.41,49.27%,1.70%,110.30,1.19
sovaSova,Initiator,Strong / S,61.93,-0.57,49.74%,6.06%,113.96,1.17
viperViper,Controller,Bad / D,23.34,+3.27,48.60%,1.24%,114.73,1.07
vyseVyse,Sentinel,Fair / B,37.97,-6.63,49.14%,2.47%,119.84,1.20
yoruYoru,Duelist,Fair / B,42.53,+0.83,48.76%,3.61%,119.59,1.15
