Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,32.40,-3.96,48.93%,0.75%,141.54,1.47
breachBreach,Initiator,Fair / B,38.60,+2.97,49.76%,2.06%,132.27,1.37
brimstoneBrimstone,Controller,Weak / C,34.86,+1.57,49.23%,1.11%,136.88,1.49
chamberChamber,Sentinel,Good / A,50.70,-4.74,49.91%,3.78%,151.33,1.36
cloveClove,Controller,God / S+,98.69,-0.61,51.16%,11.52%,155.80,1.54
cypherCypher,Sentinel,God / S+,90.98,+1.06,50.09%,11.87%,134.02,1.34
deadlockDeadlock,Sentinel,Fair / B,35.67,+1.00,50.20%,1.32%,136.15,1.32
fadeFade,Initiator,Weak / C,32.89,+1.15,49.73%,1.17%,129.46,1.34
gekkoGekko,Initiator,Good / A,61.26,-2.98,50.17%,6.60%,127.90,1.26
harborHarbor,Controller,Bad / D,22.22,+4.12,47.67%,0.35%,129.49,1.29
isoIso,Duelist,Good / A,53.24,+0.93,50.26%,3.53%,165.20,1.40
jettJett,Duelist,Strong / S,76.84,-2.09,50.04%,8.47%,158.65,1.35
kayoKAY/O,Initiator,Fair / B,36.65,+1.15,48.72%,2.06%,132.50,1.42
killjoyKilljoy,Sentinel,Bad / D,30.90,+0.48,49.77%,0.84%,137.52,1.24
neonNeon,Duelist,Good / A,52.89,+2.22,50.54%,4.04%,149.99,1.31
omenOmen,Controller,Good / A,58.04,-0.24,48.88%,5.92%,137.28,1.41
phoenixPhoenix,Duelist,Good / A,50.52,+1.32,50.38%,3.04%,160.04,1.42
razeRaze,Duelist,Strong / S,64.52,-2.57,50.04%,6.22%,157.23,1.33
reynaReyna,Duelist,Strong / S,89.48,-1.02,50.47%,10.24%,162.52,1.44
sageSage,Sentinel,Fair / B,45.47,-0.42,49.94%,3.57%,127.07,1.32
skyeSkye,Initiator,Weak / C,33.92,+2.66,49.44%,1.44%,130.10,1.36
sovaSova,Initiator,Strong / S,61.28,+0.91,50.11%,6.05%,139.45,1.34
viperViper,Controller,Bad / D,22.12,+4.05,47.32%,0.21%,138.60,1.30
vyseVyse,Sentinel,Fair / B,40.55,-10.87,49.63%,2.28%,139.10,1.38
yoruYoru,Duelist,Fair / B,35.29,+3.91,49.08%,1.56%,145.62,1.32
