Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,37.58,-9.20,52.38%,0.14%,126.41,1.77
breachBreach,Initiator,Fair / B,42.46,-6.83,48.30%,3.13%,129.34,1.52
brimstoneBrimstone,Controller,Weak / C,34.04,NEW,48.19%,0.19%,142.36,1.80
chamberChamber,Sentinel,Good / A,44.27,-0.29,53.32%,1.33%,161.48,1.46
cloveClove,Controller,God / S+,94.96,+0.36,51.90%,14.01%,166.81,1.69
cypherCypher,Sentinel,God / S+,87.23,+13.53,50.40%,13.75%,139.64,1.39
deadlockDeadlock,Sentinel,Fair / B,41.64,-1.00,49.91%,1.91%,153.81,1.48
fadeFade,Initiator,Weak / C,36.09,-2.51,51.15%,0.85%,125.22,1.43
gekkoGekko,Initiator,Good / A,54.57,+6.43,51.54%,5.08%,139.53,1.42
harborHarbor,Controller,Fair / B,40.57,NEW,54.17%,0.08%,140.42,1.72
isoIso,Duelist,Strong / S,60.99,-1.47,50.63%,6.41%,167.12,1.40
jettJett,Duelist,Good / A,59.38,-2.04,49.14%,6.68%,163.23,1.35
kayoKAY/O,Initiator,Fair / B,38.71,+20.45,52.23%,0.33%,142.00,1.66
killjoyKilljoy,Sentinel,Bad / D,32.16,+8.55,47.89%,0.16%,173.61,1.26
neonNeon,Duelist,Strong / S,85.10,+11.30,51.61%,12.39%,159.07,1.38
omenOmen,Controller,Good / A,49.68,+14.74,49.15%,4.51%,138.46,1.49
phoenixPhoenix,Duelist,Fair / B,40.63,-2.94,52.54%,0.77%,160.38,1.42
razeRaze,Duelist,Strong / S,70.73,+1.58,50.67%,8.92%,166.76,1.37
reynaReyna,Duelist,Good / A,57.63,-2.64,50.39%,5.69%,160.81,1.45
sageSage,Sentinel,Good / A,45.73,+13.28,55.06%,0.36%,165.78,1.80
skyeSkye,Initiator,Bad / D,25.47,-7.87,38.10%,0.02%,177.38,2.07
sovaSova,Initiator,Strong / S,76.16,+6.73,50.09%,10.76%,147.99,1.44
viperViper,Controller,Bad / D,17.93,NEW,45.45%,0.14%,92.83,0.77
vyseVyse,Sentinel,Weak / C,32.51,-10.88,46.79%,0.91%,147.35,1.41
yoruYoru,Duelist,Fair / B,43.80,+8.20,54.05%,1.48%,149.11,1.34
