Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,28.70,-4.68,48.79%,0.67%,138.87,1.41
breachBreach,Initiator,Fair / B,35.53,-0.40,49.49%,1.98%,133.08,1.32
brimstoneBrimstone,Controller,Fair / B,41.01,+1.42,49.53%,2.15%,137.49,1.45
chamberChamber,Sentinel,Fair / B,51.10,-2.17,50.00%,3.52%,148.83,1.36
cloveClove,Controller,God / S+,94.65,+1.03,51.25%,9.49%,155.32,1.52
cypherCypher,Sentinel,Strong / S,84.84,+1.91,50.38%,10.20%,133.54,1.36
deadlockDeadlock,Sentinel,Fair / B,37.64,+4.73,50.30%,1.65%,134.22,1.31
fadeFade,Initiator,Weak / C,32.42,-1.71,49.56%,1.59%,128.41,1.31
gekkoGekko,Initiator,Good / A,59.09,-0.61,50.26%,6.24%,128.02,1.25
harborHarbor,Controller,Bad / D,15.36,-6.51,47.37%,0.70%,127.97,1.26
isoIso,Duelist,Good / A,56.40,+2.70,50.13%,3.75%,161.24,1.38
jettJett,Duelist,Strong / S,69.44,-0.25,50.17%,6.38%,157.75,1.37
kayoKAY/O,Initiator,Weak / C,34.01,-0.32,48.64%,2.35%,129.41,1.38
killjoyKilljoy,Sentinel,Weak / C,32.43,+1.14,49.55%,1.60%,136.16,1.24
neonNeon,Duelist,Good / A,55.44,+0.15,50.21%,4.50%,146.93,1.31
omenOmen,Controller,Good / A,60.09,+2.09,49.20%,6.35%,138.31,1.38
phoenixPhoenix,Duelist,Good / A,54.55,+2.61,50.30%,3.20%,157.62,1.43
razeRaze,Duelist,Strong / S,60.42,+0.79,50.07%,4.97%,155.58,1.35
reynaReyna,Duelist,God / S+,98.71,-0.07,50.47%,10.84%,162.97,1.47
sageSage,Sentinel,Strong / S,60.10,-0.77,50.22%,6.35%,124.67,1.31
skyeSkye,Initiator,Fair / B,35.51,+4.00,49.56%,2.06%,128.07,1.34
sovaSova,Initiator,Good / A,51.29,+0.17,49.96%,4.33%,137.22,1.32
viperViper,Controller,Bad / D,27.57,+6.13,49.34%,0.56%,136.11,1.31
vyseVyse,Sentinel,Fair / B,39.82,-10.59,49.45%,2.50%,137.21,1.35
yoruYoru,Duelist,Weak / C,33.88,-0.81,48.88%,2.06%,140.32,1.29
