Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,29.43,-3.61,49.30%,0.86%,137.64,1.46
breachBreach,Initiator,Weak / C,33.77,+0.12,49.63%,1.78%,131.02,1.39
brimstoneBrimstone,Controller,Fair / B,37.49,-1.09,49.71%,1.87%,134.80,1.51
chamberChamber,Sentinel,Good / A,54.79,-3.13,49.95%,4.60%,147.16,1.34
cloveClove,Controller,Strong / S,90.35,+3.18,51.10%,8.95%,152.69,1.53
cypherCypher,Sentinel,Strong / S,62.54,+2.93,50.23%,6.14%,132.05,1.33
deadlockDeadlock,Sentinel,Fair / B,34.83,+2.62,50.56%,1.63%,133.96,1.31
fadeFade,Initiator,Weak / C,33.95,-0.18,49.95%,1.78%,128.88,1.36
gekkoGekko,Initiator,Good / A,50.07,+0.09,50.16%,4.59%,126.21,1.25
harborHarbor,Controller,Bad / D,21.27,+0.38,48.34%,0.56%,131.45,1.34
isoIso,Duelist,Good / A,55.99,+1.55,50.43%,4.06%,161.09,1.39
jettJett,Duelist,God / S+,97.38,+0.20,50.25%,10.98%,153.87,1.33
kayoKAY/O,Initiator,Bad / D,31.53,-0.49,48.76%,1.71%,130.11,1.44
killjoyKilljoy,Sentinel,Fair / B,45.94,+0.92,50.15%,3.67%,137.29,1.24
neonNeon,Duelist,Good / A,53.90,+0.62,50.36%,4.46%,145.18,1.30
omenOmen,Controller,Good / A,56.43,+2.13,49.10%,5.41%,136.03,1.40
phoenixPhoenix,Duelist,Fair / B,47.76,+0.52,50.45%,2.93%,153.71,1.40
razeRaze,Duelist,Strong / S,56.92,-0.37,50.02%,4.76%,154.12,1.33
reynaReyna,Duelist,God / S+,93.75,+2.05,50.42%,9.95%,157.70,1.43
sageSage,Sentinel,Good / A,51.96,-1.35,50.47%,4.51%,127.09,1.32
skyeSkye,Initiator,Weak / C,33.62,+0.43,49.61%,2.00%,126.96,1.34
sovaSova,Initiator,Strong / S,68.74,+2.34,50.10%,7.00%,136.65,1.34
viperViper,Controller,Weak / C,34.04,-0.17,49.91%,1.61%,138.13,1.35
vyseVyse,Sentinel,Fair / B,36.37,-11.12,49.83%,1.95%,138.00,1.37
yoruYoru,Duelist,Fair / B,37.19,+1.45,49.57%,2.24%,142.12,1.32
