Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,36.29,-4.68,49.19%,1.08%,141.07,1.52
breachBreach,Initiator,Fair / B,38.48,+0.30,49.56%,1.89%,131.35,1.43
brimstoneBrimstone,Controller,Weak / C,37.98,-0.21,49.66%,1.17%,138.56,1.59
chamberChamber,Sentinel,Strong / S,55.87,-3.82,49.91%,5.30%,149.68,1.34
cloveClove,Controller,God / S+,85.52,+4.80,51.15%,10.53%,155.12,1.57
cypherCypher,Sentinel,Strong / S,63.61,+3.32,50.20%,7.23%,134.11,1.33
deadlockDeadlock,Sentinel,Weak / C,37.48,-0.18,50.79%,1.28%,138.10,1.35
fadeFade,Initiator,Weak / C,36.56,-0.11,49.82%,1.40%,132.50,1.41
gekkoGekko,Initiator,Good / A,48.38,-0.64,50.09%,4.30%,127.68,1.27
harborHarbor,Controller,Bad / D,30.69,-2.67,48.93%,0.37%,136.79,1.40
isoIso,Duelist,Good / A,53.14,+2.00,50.75%,3.75%,168.55,1.43
jettJett,Duelist,God / S+,96.79,+0.06,50.12%,13.85%,157.66,1.33
kayoKAY/O,Initiator,Bad / D,35.29,+1.02,48.68%,1.21%,135.42,1.51
killjoyKilljoy,Sentinel,Good / A,48.00,+1.13,50.13%,3.93%,140.91,1.26
neonNeon,Duelist,Good / A,48.58,+1.97,50.56%,3.55%,150.06,1.31
omenOmen,Controller,Good / A,52.05,-0.11,48.81%,4.85%,137.15,1.46
phoenixPhoenix,Duelist,Fair / B,43.63,+0.46,50.64%,1.91%,160.45,1.43
razeRaze,Duelist,Good / A,55.77,-0.30,49.90%,5.12%,157.83,1.32
reynaReyna,Duelist,Strong / S,80.60,+1.29,50.35%,10.03%,159.46,1.42
sageSage,Sentinel,Fair / B,38.52,+0.26,50.44%,1.78%,130.33,1.36
skyeSkye,Initiator,Fair / B,38.33,+0.96,49.74%,1.90%,131.10,1.38
sovaSova,Initiator,Strong / S,72.54,+2.21,50.13%,8.91%,140.45,1.38
viperViper,Controller,Fair / B,39.07,+0.13,49.96%,1.67%,143.16,1.39
vyseVyse,Sentinel,Fair / B,39.03,-7.72,50.20%,1.50%,143.44,1.43
yoruYoru,Duelist,Weak / C,37.80,+0.55,49.70%,1.49%,148.34,1.35
