Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,26.34,-1.18,48.90%,0.64%,130.02,1.34
breachBreach,Initiator,Weak / C,36.61,+2.48,49.76%,1.81%,128.69,1.30
brimstoneBrimstone,Controller,Fair / B,45.94,+2.05,49.79%,2.57%,132.26,1.40
chamberChamber,Sentinel,Good / A,54.63,-2.00,49.76%,4.30%,140.70,1.32
cloveClove,Controller,God / S+,87.67,-1.45,51.13%,7.38%,147.10,1.44
cypherCypher,Sentinel,Strong / S,60.98,-0.23,50.30%,5.59%,128.01,1.32
deadlockDeadlock,Sentinel,Fair / B,37.95,+1.67,50.14%,2.01%,126.91,1.25
fadeFade,Initiator,Weak / C,37.32,+2.55,49.86%,2.27%,122.98,1.29
gekkoGekko,Initiator,Good / A,54.31,-0.62,50.12%,5.72%,123.19,1.21
harborHarbor,Controller,Bad / D,17.60,+0.44,48.38%,1.00%,122.41,1.23
isoIso,Duelist,Good / A,55.97,+1.64,49.92%,3.75%,149.58,1.32
jettJett,Duelist,Strong / S,66.20,+0.19,49.92%,5.88%,147.46,1.32
kayoKAY/O,Initiator,Bad / D,32.84,+2.10,48.86%,2.34%,123.75,1.35
killjoyKilljoy,Sentinel,Fair / B,48.65,+1.51,50.43%,3.25%,132.95,1.25
neonNeon,Duelist,Good / A,57.02,-0.35,49.98%,5.08%,137.48,1.26
omenOmen,Controller,Strong / S,59.61,+0.06,49.25%,6.54%,133.87,1.31
phoenixPhoenix,Duelist,Good / A,52.14,+2.41,49.85%,3.14%,146.12,1.35
razeRaze,Duelist,Good / A,57.69,-0.63,49.81%,4.62%,145.43,1.30
reynaReyna,Duelist,God / S+,98.78,+0.22,50.37%,10.42%,152.54,1.42
sageSage,Sentinel,Strong / S,67.14,-0.74,50.26%,7.91%,118.91,1.26
skyeSkye,Initiator,Weak / C,35.86,+2.06,49.51%,2.52%,121.31,1.30
sovaSova,Initiator,Fair / B,48.77,+1.36,49.88%,3.97%,131.07,1.28
viperViper,Controller,Weak / C,33.18,-0.13,49.44%,1.48%,131.57,1.29
vyseVyse,Sentinel,Fair / B,39.24,-13.16,49.56%,2.66%,128.63,1.29
yoruYoru,Duelist,Fair / B,37.57,-0.23,48.99%,3.17%,132.47,1.25
