Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,33.94,-4.85,49.25%,1.09%,140.25,1.50
breachBreach,Initiator,Fair / B,37.90,+0.58,49.73%,2.12%,131.51,1.39
brimstoneBrimstone,Controller,Fair / B,38.00,+0.43,49.96%,1.44%,137.97,1.57
chamberChamber,Sentinel,Strong / S,60.53,-3.80,49.99%,5.84%,150.10,1.35
cloveClove,Controller,Strong / S,87.46,+3.99,51.07%,9.76%,154.06,1.55
cypherCypher,Sentinel,Strong / S,62.54,+3.04,50.18%,6.59%,133.69,1.33
deadlockDeadlock,Sentinel,Weak / C,35.45,+1.08,50.52%,1.39%,136.59,1.33
fadeFade,Initiator,Weak / C,35.78,+0.22,50.12%,1.55%,132.24,1.40
gekkoGekko,Initiator,Good / A,50.95,-0.30,50.08%,4.82%,127.60,1.27
harborHarbor,Controller,Bad / D,26.40,-0.28,48.41%,0.47%,135.75,1.38
isoIso,Duelist,Good / A,52.21,+2.38,50.63%,3.43%,167.30,1.43
jettJett,Duelist,God / S+,97.13,-0.05,50.15%,12.35%,158.06,1.34
kayoKAY/O,Initiator,Bad / D,33.91,-0.04,48.50%,1.63%,133.87,1.47
killjoyKilljoy,Sentinel,Good / A,45.95,+1.16,50.19%,3.63%,138.80,1.25
neonNeon,Duelist,Good / A,47.81,+1.43,50.42%,3.49%,148.27,1.31
omenOmen,Controller,Good / A,56.66,+1.92,49.04%,5.55%,139.66,1.44
phoenixPhoenix,Duelist,Fair / B,44.54,+0.54,50.52%,2.27%,158.85,1.43
razeRaze,Duelist,Good / A,57.37,-0.29,50.04%,5.10%,157.51,1.34
reynaReyna,Duelist,God / S+,87.54,+0.90,50.36%,10.21%,160.18,1.43
sageSage,Sentinel,Fair / B,42.23,+0.67,50.31%,2.95%,127.16,1.33
skyeSkye,Initiator,Fair / B,36.95,+0.68,49.72%,2.02%,130.95,1.38
sovaSova,Initiator,Strong / S,67.75,+1.94,50.21%,7.26%,140.26,1.38
viperViper,Controller,Weak / C,36.74,-0.26,50.01%,1.51%,142.84,1.40
vyseVyse,Sentinel,Fair / B,38.71,-10.78,49.98%,1.91%,141.12,1.41
yoruYoru,Duelist,Weak / C,35.57,-0.31,49.31%,1.59%,147.46,1.35
