Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,30.42,-1.98,49.31%,0.88%,138.84,1.46
breachBreach,Initiator,Fair / B,37.03,+1.61,49.85%,2.18%,133.45,1.36
brimstoneBrimstone,Controller,Fair / B,40.08,+0.37,49.84%,2.06%,137.20,1.50
chamberChamber,Sentinel,Strong / S,61.09,-3.39,50.05%,5.50%,150.39,1.38
cloveClove,Controller,God / S+,88.86,+0.72,51.26%,8.78%,154.37,1.53
cypherCypher,Sentinel,Strong / S,60.41,+1.86,50.21%,5.97%,133.20,1.35
deadlockDeadlock,Sentinel,Weak / C,34.57,+1.60,50.35%,1.59%,134.45,1.31
fadeFade,Initiator,Weak / C,34.08,+0.16,49.98%,1.73%,129.98,1.35
gekkoGekko,Initiator,Good / A,53.00,+0.45,50.28%,5.15%,127.85,1.26
harborHarbor,Controller,Bad / D,22.40,+2.27,48.68%,0.66%,130.73,1.32
isoIso,Duelist,Good / A,54.17,+1.51,50.39%,3.56%,163.54,1.41
jettJett,Duelist,Strong / S,85.45,-0.41,50.24%,9.25%,158.83,1.37
kayoKAY/O,Initiator,Bad / D,33.45,+0.97,48.75%,2.09%,131.60,1.43
killjoyKilljoy,Sentinel,Fair / B,44.96,+1.92,50.34%,3.40%,137.98,1.26
neonNeon,Duelist,Good / A,51.49,+1.10,50.26%,4.11%,146.61,1.31
omenOmen,Controller,Strong / S,60.59,+0.42,49.20%,6.26%,139.55,1.39
phoenixPhoenix,Duelist,Fair / B,48.46,+0.74,50.32%,2.74%,158.34,1.43
razeRaze,Duelist,Good / A,57.93,-1.09,49.96%,4.92%,156.23,1.35
reynaReyna,Duelist,God / S+,98.65,-0.10,50.53%,10.87%,161.87,1.47
sageSage,Sentinel,Good / A,54.73,+0.63,50.26%,5.38%,124.61,1.31
skyeSkye,Initiator,Fair / B,34.79,+1.71,49.55%,2.19%,128.51,1.35
sovaSova,Initiator,Good / A,56.47,+1.07,50.16%,5.05%,139.79,1.36
viperViper,Controller,Weak / C,33.60,+0.46,49.89%,1.28%,139.92,1.38
vyseVyse,Sentinel,Fair / B,38.72,-13.35,49.69%,2.39%,137.80,1.37
yoruYoru,Duelist,Weak / C,34.61,+0.75,49.16%,2.00%,143.14,1.33
