Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,37.36,-3.15,49.14%,1.03%,143.15,1.55
breachBreach,Initiator,Fair / B,38.65,+0.20,50.06%,1.45%,131.87,1.48
brimstoneBrimstone,Controller,Weak / C,38.36,-0.26,49.89%,0.90%,139.24,1.62
chamberChamber,Sentinel,Good / A,49.32,-4.96,50.04%,3.94%,149.71,1.33
cloveClove,Controller,God / S+,86.95,+4.55,50.99%,11.71%,156.07,1.59
cypherCypher,Sentinel,Strong / S,63.54,+3.12,50.36%,7.61%,134.26,1.33
deadlockDeadlock,Sentinel,Fair / B,39.60,+2.33,51.00%,1.38%,140.47,1.38
fadeFade,Initiator,Fair / B,38.62,+0.36,50.40%,1.34%,133.61,1.45
gekkoGekko,Initiator,Good / A,44.92,-1.31,50.10%,3.53%,128.22,1.29
harborHarbor,Controller,Bad / D,30.89,+1.80,48.36%,0.23%,139.69,1.41
isoIso,Duelist,Strong / S,57.26,+3.07,51.08%,4.65%,170.24,1.44
jettJett,Duelist,God / S+,96.72,-0.04,50.30%,14.96%,157.57,1.32
kayoKAY/O,Initiator,Bad / D,36.40,+0.08,49.31%,0.88%,136.78,1.55
killjoyKilljoy,Sentinel,Good / A,50.52,+0.34,50.03%,4.72%,140.63,1.24
neonNeon,Duelist,Good / A,51.47,+1.98,50.86%,4.15%,150.99,1.32
omenOmen,Controller,Good / A,47.58,-0.72,48.59%,4.03%,136.67,1.47
phoenixPhoenix,Duelist,Fair / B,42.18,+0.15,50.61%,1.45%,161.47,1.44
razeRaze,Duelist,Good / A,53.55,-1.00,49.90%,4.79%,159.22,1.32
reynaReyna,Duelist,Strong / S,76.62,+0.86,50.58%,9.77%,159.58,1.41
sageSage,Sentinel,Bad / D,36.34,-0.91,50.25%,0.98%,135.21,1.39
skyeSkye,Initiator,Weak / C,38.61,+0.27,50.09%,1.75%,129.49,1.38
sovaSova,Initiator,Strong / S,75.30,+0.69,50.13%,10.20%,140.50,1.38
viperViper,Controller,Fair / B,40.42,-1.00,49.86%,1.95%,142.36,1.38
vyseVyse,Sentinel,Weak / C,38.41,-7.86,50.18%,1.05%,146.43,1.45
yoruYoru,Duelist,Fair / B,40.42,+1.41,50.50%,1.55%,149.74,1.37
