Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,26.03,-0.02,48.90%,0.36%,124.99,1.30
breachBreach,Initiator,Weak / C,30.64,+1.52,49.60%,0.96%,120.56,1.25
brimstoneBrimstone,Controller,Fair / B,47.81,-0.25,49.64%,3.63%,112.02,1.29
chamberChamber,Sentinel,Good / A,50.63,-0.87,49.77%,3.14%,134.03,1.29
cloveClove,Controller,Strong / S,67.62,-0.31,50.76%,4.61%,137.26,1.37
cypherCypher,Sentinel,Fair / B,46.90,-1.00,49.81%,3.25%,119.55,1.25
deadlockDeadlock,Sentinel,Weak / C,31.13,+1.48,49.79%,1.37%,117.03,1.16
fadeFade,Initiator,Fair / B,33.28,+0.48,49.34%,2.22%,110.27,1.16
gekkoGekko,Initiator,Good / A,52.09,-0.77,49.74%,4.96%,110.91,1.10
harborHarbor,Controller,Bad / D,18.40,+1.50,48.39%,0.71%,111.73,1.12
isoIso,Duelist,Good / A,52.02,-0.55,49.63%,3.67%,134.35,1.22
jettJett,Duelist,God / S+,94.71,-0.97,50.25%,9.66%,129.98,1.24
kayoKAY/O,Initiator,Weak / C,31.89,+1.42,48.65%,2.06%,112.59,1.24
killjoyKilljoy,Sentinel,Fair / B,37.52,+1.33,50.17%,1.96%,121.51,1.15
neonNeon,Duelist,Good / A,59.95,+1.40,49.71%,5.38%,124.07,1.17
omenOmen,Controller,Good / A,51.99,+0.13,48.84%,4.76%,121.49,1.19
phoenixPhoenix,Duelist,Strong / S,79.09,-0.14,49.79%,8.40%,118.90,1.15
razeRaze,Duelist,Good / A,50.79,-0.22,49.56%,3.49%,134.34,1.24
reynaReyna,Duelist,God / S+,97.01,+0.15,50.02%,9.40%,140.01,1.34
sageSage,Sentinel,Strong / S,90.40,-0.73,50.27%,10.39%,104.35,1.13
skyeSkye,Initiator,Weak / C,29.14,+2.16,49.16%,1.69%,109.69,1.17
sovaSova,Initiator,Strong / S,63.10,-1.37,49.80%,6.24%,112.52,1.16
viperViper,Controller,Bad / D,27.40,+0.67,48.98%,1.51%,116.97,1.11
vyseVyse,Sentinel,Fair / B,36.53,-6.65,49.08%,2.47%,118.73,1.18
yoruYoru,Duelist,Fair / B,43.91,+1.60,48.93%,3.71%,120.16,1.15
