Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,30.68,-4.67,49.37%,0.99%,139.84,1.48
breachBreach,Initiator,Fair / B,36.54,+1.32,49.82%,2.19%,132.83,1.38
brimstoneBrimstone,Controller,Fair / B,36.82,+0.36,49.74%,1.74%,137.33,1.52
chamberChamber,Sentinel,Strong / S,63.24,-3.42,50.06%,5.87%,150.64,1.37
cloveClove,Controller,Strong / S,92.04,+2.56,51.21%,9.30%,154.52,1.54
cypherCypher,Sentinel,Strong / S,62.30,+3.22,50.19%,6.17%,133.76,1.34
deadlockDeadlock,Sentinel,Weak / C,33.17,+0.59,50.35%,1.48%,135.96,1.32
fadeFade,Initiator,Weak / C,33.14,+0.57,50.02%,1.62%,130.89,1.37
gekkoGekko,Initiator,Good / A,52.64,-0.40,50.17%,5.03%,127.83,1.26
harborHarbor,Controller,Bad / D,22.00,+0.98,48.63%,0.55%,132.04,1.34
isoIso,Duelist,Good / A,52.44,+1.67,50.48%,3.42%,165.65,1.42
jettJett,Duelist,God / S+,96.27,-1.10,50.18%,10.85%,158.86,1.36
kayoKAY/O,Initiator,Bad / D,32.98,+0.51,48.73%,1.92%,133.06,1.45
killjoyKilljoy,Sentinel,Fair / B,44.51,+2.05,50.24%,3.44%,138.63,1.26
neonNeon,Duelist,Good / A,49.08,+1.17,50.30%,3.76%,147.79,1.31
omenOmen,Controller,Good / A,59.81,+1.02,49.14%,5.95%,138.26,1.41
phoenixPhoenix,Duelist,Fair / B,46.20,+1.68,50.40%,2.57%,160.05,1.43
razeRaze,Duelist,Good / A,58.60,-0.71,50.02%,5.02%,157.56,1.35
reynaReyna,Duelist,God / S+,97.92,+0.82,50.45%,10.67%,161.25,1.45
sageSage,Sentinel,Good / A,48.07,+0.54,50.17%,4.17%,126.10,1.32
skyeSkye,Initiator,Fair / B,34.92,+1.69,49.73%,2.08%,129.96,1.37
sovaSova,Initiator,Strong / S,62.58,+1.79,50.20%,5.93%,140.84,1.38
viperViper,Controller,Weak / C,33.61,+0.02,49.99%,1.36%,141.64,1.40
vyseVyse,Sentinel,Fair / B,37.34,-13.09,49.76%,2.16%,139.16,1.38
yoruYoru,Duelist,Weak / C,33.11,+0.81,49.16%,1.76%,144.97,1.33
