Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,37.25,-3.81,50.36%,0.89%,143.88,1.58
breachBreach,Initiator,Bad / D,34.96,-4.55,48.46%,1.28%,135.82,1.56
brimstoneBrimstone,Controller,Weak / C,35.12,-7.27,48.89%,0.87%,141.43,1.62
chamberChamber,Sentinel,Fair / B,42.59,-2.70,50.10%,2.64%,150.57,1.34
cloveClove,Controller,God / S+,82.13,+5.23,51.00%,10.29%,162.33,1.64
cypherCypher,Sentinel,Strong / S,61.34,+4.60,50.54%,6.95%,139.41,1.37
deadlockDeadlock,Sentinel,Good / A,44.83,+6.08,51.90%,2.42%,144.11,1.44
fadeFade,Initiator,Fair / B,40.05,-2.72,50.08%,1.92%,138.84,1.51
gekkoGekko,Initiator,Fair / B,41.52,+0.21,50.65%,2.46%,135.10,1.38
harborHarbor,Controller,Bad / D,28.43,+0.14,46.89%,0.22%,145.89,1.52
isoIso,Duelist,Strong / S,64.09,+0.99,50.78%,6.57%,171.05,1.43
jettJett,Duelist,God / S+,96.55,+5.74,50.92%,14.41%,159.32,1.34
kayoKAY/O,Initiator,Bad / D,34.11,-5.36,48.60%,1.05%,135.45,1.56
killjoyKilljoy,Sentinel,Good / A,52.70,+0.50,49.58%,5.36%,147.36,1.28
neonNeon,Duelist,Good / A,60.19,-1.08,51.01%,6.11%,156.15,1.37
omenOmen,Controller,Good / A,50.00,+5.92,49.60%,4.38%,137.66,1.51
phoenixPhoenix,Duelist,Fair / B,40.40,-2.97,51.53%,0.98%,162.50,1.49
razeRaze,Duelist,Good / A,56.50,+0.71,51.02%,5.04%,165.42,1.37
reynaReyna,Duelist,Strong / S,66.28,+1.61,50.51%,7.30%,163.35,1.45
sageSage,Sentinel,Fair / B,38.35,-8.57,52.03%,0.43%,155.13,1.52
skyeSkye,Initiator,Weak / C,35.84,-3.70,49.44%,1.56%,134.82,1.40
sovaSova,Initiator,Strong / S,81.25,+11.16,50.37%,11.15%,146.69,1.45
viperViper,Controller,Fair / B,43.70,+0.41,51.31%,2.33%,147.33,1.42
vyseVyse,Sentinel,Weak / C,36.73,-3.82,50.53%,0.85%,150.71,1.46
yoruYoru,Duelist,Good / A,45.07,+3.27,51.33%,2.55%,152.89,1.40
