Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,29.65,-1.57,49.17%,0.76%,136.43,1.42
breachBreach,Initiator,Fair / B,37.02,+1.39,49.81%,2.07%,133.02,1.34
brimstoneBrimstone,Controller,Fair / B,43.93,+2.58,49.92%,2.42%,136.92,1.47
chamberChamber,Sentinel,Good / A,58.23,-1.70,50.03%,4.92%,148.14,1.38
cloveClove,Controller,God / S+,86.93,-0.10,51.25%,8.23%,153.34,1.51
cypherCypher,Sentinel,Strong / S,59.95,+1.30,50.27%,5.84%,132.43,1.35
deadlockDeadlock,Sentinel,Fair / B,36.55,+3.06,50.32%,1.76%,132.29,1.30
fadeFade,Initiator,Weak / C,35.23,+0.69,49.87%,1.90%,128.40,1.34
gekkoGekko,Initiator,Good / A,53.02,-0.26,50.27%,5.28%,127.38,1.25
harborHarbor,Controller,Bad / D,20.45,-0.61,48.34%,0.82%,128.05,1.29
isoIso,Duelist,Good / A,55.88,+1.92,50.25%,3.71%,159.76,1.39
jettJett,Duelist,Strong / S,75.67,+0.47,50.22%,7.58%,156.86,1.38
kayoKAY/O,Initiator,Bad / D,32.91,+0.42,48.71%,2.21%,128.95,1.40
killjoyKilljoy,Sentinel,Fair / B,45.35,+0.49,50.27%,3.38%,136.76,1.27
neonNeon,Duelist,Good / A,54.33,+0.71,50.19%,4.53%,144.93,1.31
omenOmen,Controller,Strong / S,60.87,+0.74,49.33%,6.44%,140.00,1.37
phoenixPhoenix,Duelist,Fair / B,51.15,+1.58,50.21%,2.92%,155.51,1.42
razeRaze,Duelist,Good / A,57.43,-0.65,49.94%,4.74%,153.58,1.35
reynaReyna,Duelist,God / S+,98.89,+0.17,50.55%,10.89%,161.06,1.47
sageSage,Sentinel,Strong / S,60.38,-0.15,50.23%,6.63%,123.10,1.30
skyeSkye,Initiator,Weak / C,35.60,+0.99,49.54%,2.34%,126.89,1.34
sovaSova,Initiator,Good / A,51.67,+0.55,50.03%,4.37%,137.55,1.34
viperViper,Controller,Weak / C,33.80,-0.02,49.70%,1.34%,137.03,1.35
vyseVyse,Sentinel,Fair / B,39.85,-12.27,49.68%,2.56%,135.32,1.35
yoruYoru,Duelist,Weak / C,35.26,+0.25,48.99%,2.37%,139.53,1.30
