Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA,Map,Rank_x,Play %,Attacker Win %,Attacker KDA,Defender Win %,Defender KDA,Rank_y,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %,Rank
Astra,Controller,Fair / B,41.52,-3.62,49.55%,2.20%,137.38,1.45,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Breach,Initiator,Fair / B,39.95,-0.44,50.23%,1.94%,131.71,1.39,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Brimstone,Controller,Weak / C,33.76,-2.15,49.17%,1.24%,130.18,1.42,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Chamber,Sentinel,Good / A,53.72,0.49,50.22%,4.30%,147.13,1.33,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Clove,Controller,Strong / S,85.73,2.79,51.10%,9.27%,152.67,1.5,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Cypher,Sentinel,Strong / S,69.57,3.25,50.27%,7.83%,132.8,1.32,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Deadlock,Sentinel,Fair / B,42.16,1.83,50.49%,2.48%,134.06,1.29,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Fade,Initiator,Bad / D,26.47,-5.56,48.44%,1.10%,120.93,1.25,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Gekko,Initiator,Good / A,54.3,-0.26,50.16%,5.36%,126.86,1.25,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
Harbor,Controller,Bad / D,25.82,-0.64,48.44%,0.64%,128.17,1.28,Abyss,Allrank,11.64%,50.94%,1.29,49.06%,1.35,Allrank,A,48.81%,25.90%,51.19%,33.88%,40.27%,29.65%,Allrank
