Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,48.81%,25.90%,51.19%,33.88%,N/A,N/A
Ascent,B,53.99%,28.42%,46.01%,27.54%,N/A,N/A
Bind,B,57.17%,31.11%,42.83%,27.36%,N/A,N/A
Breeze,B,54.56%,28.97%,45.44%,27.63%,N/A,N/A
Fracture,A,54.62%,27.88%,45.38%,28.41%,N/A,N/A
Haven,A,41.53%,26.40%,18.20%,29.62%,40.27%,29.65%
Icebox,A,54.77%,26.70%,45.23%,29.89%,N/A,N/A
Lotus,A,42.27%,25.31%,22.99%,29.88%,34.74%,31.38%
Pearl,B,50.61%,30.26%,49.39%,24.65%,N/A,N/A
Split,B,46.66%,28.23%,53.34%,25.70%,N/A,N/A
Sunset,B,44.46%,30.58%,55.54%,28.49%,N/A,N/A
