Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,47.17%,26.87%,52.83%,33.95%,N/A,N/A
Ascent,B,55.37%,27.94%,44.63%,26.92%,N/A,N/A
Bind,B,57.99%,30.38%,42.01%,25.75%,N/A,N/A
Breeze,B,56.17%,28.01%,43.83%,27.88%,N/A,N/A
Fracture,A,54.46%,27.14%,45.54%,28.72%,N/A,N/A
Haven,A,41.71%,25.60%,17.33%,29.41%,40.96%,28.08%
Icebox,A,55.05%,25.88%,44.95%,30.37%,N/A,N/A
Lotus,A,42.27%,25.13%,19.23%,30.66%,38.50%,31.48%
Pearl,B,49.86%,30.43%,50.14%,24.84%,N/A,N/A
Split,B,46.70%,27.42%,53.30%,24.63%,N/A,N/A
Sunset,A,47.83%,28.00%,52.17%,28.68%,N/A,N/A
