Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,48.95%,25.51%,51.05%,34.14%,N/A,N/A
Ascent,B,52.76%,28.83%,47.24%,28.00%,N/A,N/A
Bind,B,56.70%,31.22%,43.30%,28.05%,N/A,N/A
Breeze,B,54.24%,29.12%,45.76%,27.61%,N/A,N/A
Fracture,A,54.70%,27.96%,45.30%,28.34%,N/A,N/A
Haven,A,41.45%,26.79%,18.48%,30.13%,40.07%,30.38%
Icebox,A,54.41%,26.87%,45.59%,30.00%,N/A,N/A
Lotus,A,42.29%,25.34%,23.86%,29.81%,33.85%,31.53%
Pearl,B,50.73%,30.25%,49.27%,24.66%,N/A,N/A
Split,B,46.64%,28.46%,53.36%,25.94%,N/A,N/A
Sunset,B,43.45%,31.85%,56.55%,28.44%,N/A,N/A
