Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,48.07%,26.72%,51.93%,33.90%,N/A,N/A
Ascent,B,55.73%,27.92%,44.27%,27.05%,N/A,N/A
Bind,B,57.95%,30.83%,42.05%,26.28%,N/A,N/A
Breeze,B,56.11%,28.35%,43.89%,27.64%,N/A,N/A
Fracture,A,54.47%,27.69%,45.53%,28.69%,N/A,N/A
Haven,A,41.71%,25.69%,17.66%,29.14%,40.62%,28.41%
Icebox,A,55.19%,26.35%,44.81%,29.93%,N/A,N/A
Lotus,A,42.19%,25.30%,20.74%,30.19%,37.07%,31.42%
Pearl,B,50.08%,30.58%,49.92%,24.79%,N/A,N/A
Split,B,46.64%,27.61%,53.36%,24.69%,N/A,N/A
Sunset,B,46.87%,28.75%,53.13%,28.71%,N/A,N/A
