Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,48.84%,26.28%,51.16%,33.80%,N/A,N/A
Ascent,B,55.07%,28.18%,44.93%,27.39%,N/A,N/A
Bind,B,57.58%,31.52%,42.42%,27.19%,N/A,N/A
Breeze,B,55.36%,28.87%,44.64%,27.64%,N/A,N/A
Fracture,A,54.56%,27.81%,45.44%,28.37%,N/A,N/A
Haven,A,41.60%,26.26%,18.04%,29.38%,40.36%,29.55%
Icebox,A,55.09%,26.95%,44.91%,29.80%,N/A,N/A
Lotus,A,42.37%,25.51%,23.24%,29.84%,34.39%,31.36%
Pearl,B,50.29%,30.35%,49.71%,24.77%,N/A,N/A
Split,B,46.68%,28.19%,53.32%,25.38%,N/A,N/A
Sunset,B,44.95%,30.08%,55.05%,28.73%,N/A,N/A
