Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,45.88%,26.93%,54.12%,33.76%,N/A,N/A
Ascent,B,54.56%,28.13%,45.44%,27.02%,N/A,N/A
Bind,B,57.98%,29.53%,42.02%,25.00%,N/A,N/A
Breeze,A,56.24%,27.71%,43.76%,28.33%,N/A,N/A
Fracture,A,54.50%,27.21%,45.50%,29.02%,N/A,N/A
Haven,A,41.64%,25.59%,17.07%,29.51%,41.29%,27.69%
Icebox,A,54.69%,24.92%,45.31%,30.14%,N/A,N/A
Lotus,A,42.36%,24.32%,17.59%,30.43%,40.05%,31.33%
Pearl,B,50.16%,29.94%,49.84%,25.70%,N/A,N/A
Split,B,47.03%,26.10%,52.97%,24.08%,N/A,N/A
Sunset,A,48.34%,26.59%,51.66%,28.41%,N/A,N/A
