Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,49.26%,24.92%,50.74%,34.06%,N/A,N/A
Ascent,B,51.56%,29.27%,48.44%,28.02%,N/A,N/A
Bind,B,56.14%,30.68%,43.86%,28.37%,N/A,N/A
Breeze,B,53.09%,29.41%,46.91%,27.60%,N/A,N/A
Fracture,A,54.79%,28.08%,45.21%,28.52%,N/A,N/A
Haven,A,41.45%,26.97%,18.66%,30.38%,39.89%,30.51%
Icebox,A,53.87%,26.62%,46.13%,30.01%,N/A,N/A
Lotus,A,41.95%,25.29%,23.81%,30.02%,34.24%,31.56%
Pearl,B,51.12%,30.16%,48.88%,24.42%,N/A,N/A
Split,B,46.61%,28.52%,53.39%,26.29%,N/A,N/A
Sunset,B,42.96%,32.57%,57.04%,28.06%,N/A,N/A
