Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,49.44%,25.15%,50.56%,33.48%,N/A,N/A
Ascent,B,52.93%,28.36%,47.07%,27.39%,N/A,N/A
Bind,B,56.59%,30.59%,43.41%,27.40%,N/A,N/A
Breeze,B,53.97%,29.03%,46.03%,27.56%,N/A,N/A
Fracture,A,54.63%,27.91%,45.37%,28.39%,N/A,N/A
Haven,A,41.36%,26.51%,18.54%,29.38%,40.10%,29.60%
Icebox,A,54.64%,26.40%,45.36%,29.68%,N/A,N/A
Lotus,A,42.20%,24.87%,23.44%,29.63%,34.36%,31.00%
Pearl,B,50.82%,30.15%,49.18%,24.59%,N/A,N/A
Split,B,46.63%,28.23%,53.37%,25.90%,N/A,N/A
Sunset,B,42.87%,31.27%,57.13%,27.92%,N/A,N/A
