Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,48.67%,26.59%,51.33%,33.72%,N/A,N/A
Ascent,B,55.71%,28.07%,44.29%,27.12%,N/A,N/A
Bind,B,57.83%,31.26%,42.17%,26.76%,N/A,N/A
Breeze,B,55.78%,28.69%,44.22%,27.79%,N/A,N/A
Fracture,A,54.45%,27.70%,45.55%,28.49%,N/A,N/A
Haven,A,41.67%,25.93%,17.87%,29.13%,40.46%,28.92%
Icebox,A,55.25%,26.71%,44.75%,29.79%,N/A,N/A
Lotus,A,42.28%,25.46%,22.19%,29.94%,35.53%,31.31%
Pearl,B,50.21%,30.21%,49.79%,24.65%,N/A,N/A
Split,B,46.73%,27.81%,53.27%,25.09%,N/A,N/A
Sunset,B,45.79%,29.23%,54.21%,28.75%,N/A,N/A
